target_count,seed_index,result_index,trial_count,L_BBHT
64,0,2852,6,4
64,1,8685,13,14
64,2,8089,7,3
64,3,4876,13,19
64,4,4720,8,4
64,5,4876,18,40
64,6,7786,12,24
64,7,1801,12,25
64,8,3304,11,13
64,9,12001,1,0
64,10,8685,5,4
64,11,682,12,19
64,12,26,14,20
64,13,9302,11,17
64,14,14567,12,19
64,15,7400,10,7
64,16,10839,13,30
64,17,6247,7,6
64,18,14542,9,8
64,19,4724,11,16
64,20,14542,13,20
64,21,11647,13,18
64,22,4724,8,6
64,23,16090,10,13
64,24,2888,3,2
64,25,3073,6,3
64,26,8225,12,13
64,27,173,10,11
64,28,10593,10,14
64,29,14542,7,6
64,30,3903,11,11
64,31,160,11,19
64,32,4720,2,1
64,33,160,4,1
64,34,6247,10,13
64,35,7400,13,18
64,36,5531,14,23
64,37,8225,16,28
64,38,10931,10,17
64,39,2888,11,13
64,40,11272,10,9
64,41,4512,6,5
64,42,507,10,8
64,43,11272,10,12
64,44,7400,11,8
64,45,7786,11,14
64,46,6247,9,10
64,47,5200,15,30
64,48,15288,13,13
64,49,10234,11,11
64,50,1038,16,32
64,51,14405,8,10
64,52,16090,16,43
64,53,15469,13,21
64,54,14405,9,13
64,55,11647,2,1
64,56,7786,7,4
64,57,3876,12,15
64,58,8225,5,4
64,59,8225,11,14
64,60,3903,2,1
64,61,13012,10,13
64,62,15288,5,4
64,63,14567,10,11
64,64,1801,10,10
64,65,26,15,28
64,66,9302,13,26
64,67,682,11,15
64,68,1825,12,24
64,69,8225,15,23
64,70,5531,15,40
64,71,2852,16,27
64,72,13048,13,20
64,73,701,17,35
64,74,507,16,48
64,75,10812,7,5
64,76,1801,15,36
64,77,701,8,8
64,78,5281,6,5
64,79,8089,16,43
64,80,8799,8,4
64,81,7786,7,6
64,82,10234,11,15
64,83,5270,14,23
64,84,14494,3,1
64,85,5200,10,13
64,86,586,12,19
64,87,10593,13,23
64,88,7786,13,25
64,89,10931,10,13
64,90,16090,13,12
64,91,13048,14,18
64,92,5341,3,1
64,93,13012,10,14
64,94,507,13,21
64,95,507,20,75
64,96,13012,14,21
64,97,1801,16,33
64,98,491,10,7
64,99,5531,6,4
256,0,15288,8,7
256,1,5849,5,2
256,2,8081,7,3
256,3,16060,9,8
256,4,12680,12,17
256,5,7233,10,5
256,6,3716,7,7
256,7,3545,8,8
256,8,11907,10,8
256,9,12001,1,0
256,10,5451,4,2
256,11,873,12,19
256,12,90,5,3
256,13,7326,6,5
256,14,1930,6,7
256,15,13448,9,3
256,16,12329,6,4
256,17,6247,7,6
256,18,4389,7,4
256,19,13749,7,3
256,20,6940,9,9
256,21,2302,9,4
256,22,7844,9,7
256,23,6733,5,4
256,24,4724,8,10
256,25,9555,12,14
256,26,6702,9,6
256,27,10532,6,4
256,28,314,8,7
256,29,14410,7,6
256,30,4956,9,7
256,31,15859,9,10
256,32,11246,10,12
256,33,825,8,8
256,34,10842,7,5
256,35,9972,6,6
256,36,16297,6,3
256,37,1456,5,4
256,38,11990,6,5
256,39,10839,4,2
256,40,586,5,4
256,41,7400,5,4
256,42,507,10,8
256,43,160,6,3
256,44,7400,11,8
256,45,8996,6,4
256,46,15586,8,6
256,47,56,9,6
256,48,10265,11,7
256,49,5281,9,6
256,50,2160,13,15
256,51,6300,5,4
256,52,13448,3,1
256,53,8799,9,7
256,54,7615,4,2
256,55,12785,4,2
256,56,7780,7,4
256,57,9459,7,2
256,58,8225,5,4
256,59,4389,6,5
256,60,11343,9,10
256,61,12329,11,17
256,62,5666,10,13
256,63,14388,10,11
256,64,3410,8,4
256,65,10195,6,3
256,66,1133,6,2
256,67,5270,10,10
256,68,8996,8,6
256,69,15374,7,3
256,70,2789,4,3
256,71,15233,8,6
256,72,1859,7,4
256,73,9230,7,6
256,74,2442,6,2
256,75,14410,2,1
256,76,13239,9,10
256,77,9230,7,5
256,78,3237,2,1
256,79,11111,2,1
256,80,8089,10,10
256,81,9492,6,4
256,82,14992,3,1
256,83,15859,3,2
256,84,10082,6,4
256,85,8851,9,10
256,86,10812,11,13
256,87,6247,12,15
256,88,1038,6,3
256,89,10532,10,13
256,90,15943,13,12
256,91,9960,4,1
256,92,8081,4,1
256,93,12684,10,14
256,94,2888,7,3
256,95,2852,9,7
256,96,1456,4,2
256,97,13286,6,3
256,98,10964,2,1
256,99,2852,5,2
