target_count,seed_index,stage,cycles,actual_iter,result_index,trial_count,L_BBHT,semantic_equal
1,19,K3/H3-E4-M1,28834,47,507,22,122,1
1,19,K3/H3-E4-M2,23524,47,507,22,122,1
1,20,Normal-E1,358969,311,507,27,311,1
1,20,K4/H4-E1,133667,100,507,27,311,1
1,20,K4/H4-E4,57707,100,507,27,311,1
1,20,K3/H3-E4,56382,109,507,27,311,1
1,20,K3/H3-E4-M1,49470,109,507,27,311,1
1,20,K3/H3-E4-M2,41887,109,507,27,311,1
1,21,Normal-E1,240521,200,507,26,200,1
1,21,K4/H4-E1,94869,62,507,26,200,1
1,21,K4/H4-E4,46868,62,507,26,200,1
1,21,K3/H3-E4,42496,68,507,26,200,1
1,21,K3/H3-E4-M1,35919,68,507,26,200,1
1,21,K3/H3-E4-M2,31104,68,507,26,200,1
1,22,Normal-E1,57548,37,507,15,37,1
1,22,K4/H4-E1,26150,9,507,15,37,1
1,22,K4/H4-E4,18853,9,507,15,37,1
1,22,K3/H3-E4,17587,9,507,15,37,1
1,22,K3/H3-E4-M1,13747,9,507,15,37,1
1,22,K3/H3-E4-M2,11042,9,507,15,37,1
1,23,Normal-E1,177206,141,507,23,141,1
1,23,K4/H4-E1,60930,31,507,23,141,1
1,23,K4/H4-E4,38441,31,507,23,141,1
1,23,K3/H3-E4,32648,35,507,23,141,1
1,23,K3/H3-E4-M1,26760,35,507,23,141,1
1,23,K3/H3-E4-M2,21101,35,507,23,141,1
1,24,Normal-E1,192118,159,507,21,159,1
1,24,K4/H4-E1,61958,37,507,21,159,1
1,24,K4/H4-E4,33157,37,507,21,159,1
1,24,K3/H3-E4,31310,40,507,21,159,1
1,24,K3/H3-E4-M1,25934,40,507,21,159,1
1,24,K3/H3-E4-M2,21443,40,507,21,159,1
1,25,Normal-E1,250309,210,507,25,210,1
1,25,K4/H4-E1,111852,79,507,25,210,1
1,25,K4/H4-E4,50795,79,507,25,210,1
1,25,K3/H3-E4,45118,79,507,25,210,1
1,25,K3/H3-E4-M1,39022,79,507,25,210,1
1,25,K3/H3-E4-M2,33429,79,507,25,210,1
1,26,Normal-E1,257005,215,507,27,215,1
1,26,K4/H4-E1,91735,61,507,27,215,1
1,26,K4/H4-E4,45696,61,507,27,215,1
1,26,K3/H3-E4,42184,66,507,27,215,1
1,26,K3/H3-E4-M1,35272,66,507,27,215,1
1,26,K3/H3-E4-M2,30251,66,507,27,215,1
1,27,Normal-E1,211538,174,507,24,174,1
1,27,K4/H4-E1,68148,40,507,24,174,1
1,27,K4/H4-E4,37043,40,507,24,174,1
1,27,K3/H3-E4,33965,41,507,24,174,1
1,27,K3/H3-E4-M1,27836,41,507,24,174,1
1,27,K3/H3-E4-M2,22928,41,507,24,174,1
1,28,Normal-E1,297648,256,507,25,256,1
1,28,K4/H4-E1,91804,63,507,25,256,1
1,28,K4/H4-E4,43035,63,507,25,256,1
1,28,K3/H3-E4,41362,65,507,25,256,1
1,28,K3/H3-E4-M1,34962,65,507,25,256,1
1,28,K3/H3-E4-M2,29464,65,507,25,256,1
1,29,Normal-E1,164607,133,507,21,133,1
1,29,K4/H4-E1,61406,37,507,21,133,1
1,29,K4/H4-E4,32605,37,507,21,133,1
1,29,K3/H3-E4,30387,39,507,21,133,1
1,29,K3/H3-E4-M1,25011,39,507,21,133,1
1,29,K3/H3-E4-M2,21168,39,507,21,133,1
1,30,Normal-E1,89265,63,507,19,63,1
1,30,K4/H4-E1,48688,25,507,19,63,1
1,30,K4/H4-E4,29103,25,507,19,63,1
1,30,K3/H3-E4,24922,26,507,19,63,1
1,30,K3/H3-E4-M1,20229,26,507,19,63,1
1,30,K3/H3-E4-M2,17273,26,507,19,63,1
1,31,Normal-E1,317006,273,507,27,273,1
1,31,K4/H4-E1,105741,74,507,27,273,1
1,31,K4/H4-E4,49032,74,507,27,273,1
1,31,K3/H3-E4,45987,80,507,27,273,1
1,31,K3/H3-E4-M1,39082,80,507,27,273,1
1,31,K3/H3-E4-M2,34179,80,507,27,273,1
1,32,Normal-E1,124901,93,507,22,93,1
1,32,K4/H4-E1,48571,25,507,22,93,1
1,32,K4/H4-E4,28986,25,507,22,93,1
1,32,K3/H3-E4,28043,26,507,22,93,1
1,32,K3/H3-E4-M1,22411,26,507,22,93,1
1,32,K3/H3-E4-M2,17938,26,507,22,93,1
1,33,Normal-E1,120185,93,507,19,93,1
1,33,K4/H4-E1,49571,26,507,19,93,1
1,33,K4/H4-E4,29850,26,507,19,93,1
1,33,K3/H3-E4,25117,27,507,19,93,1
1,33,K3/H3-E4-M1,20288,27,507,19,93,1
1,33,K3/H3-E4-M2,17126,27,507,19,93,1
1,34,Normal-E1,335327,290,507,27,290,1
1,34,K4/H4-E1,140214,106,507,27,290,1
1,34,K4/H4-E4,58421,106,507,27,290,1
