stage,n,total_cycles,mean_cycles,median_cycles,pstdev_cycles,p95_cycles,total_actual_iter,mean_actual_iter,aggregate_speedup_vs_Normal,mean_workload_speedup_vs_Normal,median_workload_speedup_vs_Normal,stage_reduction_pct
Normal-E1,500,42308335,84616.67,51963.5,86793.03945310994,280527,31424,62.848,1.0,1.0,1.0,0.0
K4/H4-E1,500,18349320,36698.64,26775.0,28729.475022812374,94869,9058,18.116,2.3057167786054196,1.9033082276602302,1.9015858455732584,56.62953883673276
K4/H4-E4,500,11246755,22493.51,19740.5,11865.352106612765,45621,9058,18.116,3.7618259666899476,2.9689095106201004,2.649540968802307,38.70751068704453
K3/H3-E4,500,10385795,20771.59,18208.0,11260.576774477408,42522,9582,19.164,4.07367322386009,3.215820383057241,2.879916733614621,7.6551858736142115
K3/H3-E4-M1,500,8500620,17001.24,14500.0,9705.082649127724,36204,9582,19.164,4.977088141806127,3.9425645881984073,3.6146067571751184,18.151475163913787
K3/H3-E4-M2,500,6890470,13780.94,11212.0,8452.392105694104,30933,9582,19.164,6.140123242681558,4.893272400911815,4.650760035653961,18.941559556832324
