target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
4,3,1,2852,20,101,131509,52538,30649,28200,23080,18375
4,4,1,4724,16,47,69664,30555,21722,19397,15301,11977
4,5,1,2852,20,72,100652,40216,27704,24384,19264,15285
4,6,1,507,9,14,26215,16302,12845,11736,9432,7643
4,7,1,507,21,112,143012,60197,32164,29819,24460,20553
4,8,1,2852,15,40,61652,26057,19528,18324,14484,10924
4,9,1,2852,23,94,128492,56024,32982,33929,28194,22418
4,10,1,2852,19,65,91832,40889,25912,23962,19145,15479
4,11,1,4724,15,41,61835,28437,20372,18006,14346,11477
4,12,1,507,18,42,66710,30345,22371,20853,16442,13049
4,13,1,2852,22,128,163142,68796,36923,35029,29397,23077
4,14,1,4724,17,59,84580,35882,24745,22199,18001,13243
4,15,1,8685,21,85,116066,61419,34154,31688,26312,21703
4,16,1,2852,21,116,148285,45588,29211,26854,21478,16342
4,17,1,507,24,121,156705,61196,36066,34552,28408,23698
4,18,1,8685,22,116,149353,50339,30754,29268,23684,18608
4,19,1,507,21,82,112768,54532,32765,29637,24261,19389
4,20,1,507,22,112,146131,54670,32013,32827,27195,21297
4,21,1,2852,9,4,16450,16866,13409,12300,9996,7680
4,22,1,507,15,37,57603,26196,18899,17642,13802,11144
4,23,1,8685,12,21,39242,23673,17912,16803,13731,9589
4,24,1,8685,9,14,25932,16017,12560,11451,9147,7699
4,25,1,4724,19,77,104832,44259,26978,24965,20101,16070
4,26,1,2852,21,83,112722,45036,28877,25639,20263,16502
4,27,1,507,19,77,105186,42840,26327,25316,20455,16102
4,28,1,2852,23,142,177074,55911,32538,30817,24929,19997
4,29,1,2852,18,62,87746,39982,25005,23616,19008,15414
4,30,1,2852,20,80,108248,49512,29927,25880,21016,17658
4,31,1,4724,10,14,28295,17870,14413,13302,10742,8024
4,32,1,4724,21,70,99604,47443,27858,27014,21638,17629
4,33,1,8685,20,98,126807,52342,31221,27127,22038,18588
4,34,1,8685,11,17,32248,18218,14761,13652,10836,8305
4,35,1,8685,18,73,100158,39756,26315,23603,18995,14504
4,36,1,4724,17,47,71816,37517,24076,22895,18543,14316
4,37,1,507,20,85,114094,55385,31740,28237,23117,19292
4,38,1,8685,16,54,77426,33905,22993,20723,16627,12768
4,39,1,4724,18,71,97588,44474,27193,24424,19816,15843
4,40,1,507,18,48,73261,34339,23970,21471,16863,13359
4,41,1,2852,12,14,30274,22258,16497,15060,11988,9490
4,42,1,2852,15,34,55205,30567,20966,19134,15294,11951
4,43,1,4724,19,98,126770,43880,28135,24687,19823,15784
4,44,1,2852,21,123,154199,54288,30095,28453,23077,19200
4,45,1,2852,20,102,131157,55833,30104,27870,22812,19173
