target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
256,33,1,825,8,8,18536,14292,11603,10494,8446,7028
256,34,1,10842,7,5,14918,13250,11329,10220,8428,6420
256,35,1,9972,6,6,14335,12142,10221,9112,7576,6063
256,36,1,16297,6,3,11844,12748,10827,9718,8182,6142
256,37,1,1456,5,4,10396,10776,8855,7746,6466,5758
256,38,1,11990,6,5,13719,12559,10638,9529,7993,6108
256,39,1,10839,4,2,7309,9229,8076,6967,5943,5141
256,40,1,586,5,4,10938,11318,9397,8288,7008,5711
256,41,1,7400,5,4,10599,10979,9058,7949,6669,5713
256,42,1,507,10,8,21595,18402,14177,13066,10506,8222
256,43,1,160,6,3,10474,10344,9191,8082,6546,5777
256,44,1,7400,11,8,22554,16784,14095,12986,10170,8011
256,45,1,8996,6,4,11798,11670,9749,8640,7104,6056
256,46,1,15586,8,6,17208,13995,12074,10965,8917,6724
256,47,1,56,9,6,18330,15646,12957,11848,9544,7383
256,48,1,10265,11,7,22321,18616,15159,14050,11234,8393
256,49,1,5281,9,6,18814,15092,13171,12062,9758,7101
256,50,1,2160,13,15,31790,20932,15939,14773,11445,9449
256,51,1,6300,5,4,10569,10949,9028,7919,6639,5683
256,52,1,13448,3,1,5586,9049,7896,6787,6019,4782
256,53,1,8799,9,7,19536,15816,13127,12018,9714,7398
256,54,1,7615,4,2,7258,9178,8025,6916,5892,5090
256,55,1,12785,4,2,7715,9637,8484,7375,6351,5146
256,56,1,7780,7,4,13568,12930,11009,9900,8108,6379
256,57,1,9459,7,2,10810,12240,10319,9210,7418,6433
256,58,1,8225,5,4,11033,11416,9495,8386,7106,5747
256,59,1,4389,6,5,13707,12545,10624,9515,7979,6125
256,60,1,11343,9,10,21809,16209,12752,11457,9153,7643
256,61,1,12329,11,17,32995,18962,15505,14396,11580,8367
256,62,1,5666,10,13,27162,18804,14579,13470,10910,8285
256,63,1,14388,10,11,24376,18084,13859,12748,10188,8214
256,64,1,3410,8,4,14769,13622,11701,10592,8544,6785
256,65,1,10195,6,3,10965,11871,9950,8841,7305,6071
256,66,1,1133,6,2,9697,10600,9447,8338,6802,5816
256,67,1,5270,10,10,23622,17331,13874,12763,10203,7981
256,68,1,8996,8,6,16804,13594,11673,10564,8516,6788
256,69,1,15374,7,3,12607,13002,11081,9972,8180,6420
256,70,1,2789,4,3,8087,8976,7823,6714,5690,5105
256,71,1,15233,8,6,16951,13739,11818,10709,8661,6747
256,72,1,1859,7,4,13391,11720,10567,9458,7666,6123
256,73,1,9230,7,6,15784,13081,11160,10051,8259,6375
256,74,1,2442,6,2,10070,10974,9821,8712,7176,5787
256,75,1,14410,2,1,3984,7957,6804,5695,5183,4410
256,76,1,13239,9,10,21723,15939,12482,11373,9069,7559
256,77,1,9230,7,5,14097,12428,10507,9398,7606,6342
256,78,1,3237,2,1,3550,7521,6368,5259,4747,4439
256,79,1,11111,2,1,3737,7711,6558,5449,4937,4443
256,80,1,8089,10,10,23366,18108,13883,12774,10214,8271
256,81,1,9492,6,4,11761,10599,9446,8337,6801,5846
256,82,1,14992,3,1,5576,9038,7885,6776,6008,4833
256,83,1,15859,3,2,6427,8857,7704,6595,5827,4807
256,84,1,10082,6,4,11887,10723,9570,8461,6925,5815
256,85,1,8851,9,10,22064,15250,12561,11452,9148,7390
256,86,1,10812,11,13,27861,18275,14818,13397,10771,8580
256,87,1,6247,12,15,31119,19676,15451,14340,11268,8924
256,88,1,1038,6,3,10989,10859,9706,8597,7061,5796
256,89,1,10532,10,13,27535,19179,14954,13845,11285,8288
256,90,1,15943,13,12,30032,22217,17224,16108,12780,9600
256,91,1,9960,4,1,6708,9662,8509,7400,6376,5140
256,92,1,8081,4,1,6606,9561,8408,7299,6275,5132
256,93,1,12684,10,14,27618,16159,13470,12361,9801,7672
256,94,1,2888,7,3,11785,11145,9992,8883,7091,6106
256,95,1,2852,9,7,19633,14880,12959,11850,9546,7137
256,96,1,1456,4,2,6808,8730,7577,6468,5444,5107
256,97,1,13286,6,3,11249,11118,9965,8856,7320,5838
256,98,1,10964,2,1,3721,7693,6540,5431,4919,4456
256,99,1,2852,5,2,8584,10001,8848,7739,6459,5472
