scenario_id,qubits,N,data_count,target_count,requested_j,predicate_mode,target_mask_sha256,shared_input_prepare_seconds,backend,repeat,execution_seconds,target_probability,norm,phase_aligned_l2_vs_numpy,success_probability_error_vs_numpy
q8_m1_j12,8,256,256,1,12,EQ,d577b6dfa736657f93c3223b466c256c988d5eb5f02cc27ad47f92c1406f7dd2,1.689803320914507e-05,QISKIT_AER_STATEVECTOR,9,0.005226047011092305,0.9999470421032702,0.9999999999999959,2.188734831589348e-15,3.552713678800501e-15
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,0,0.00017661903984844685,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,1,0.000174080953001976,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,2,0.0001826429506763816,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,3,0.00017779599875211716,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,4,0.0001799529418349266,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,5,0.00029059802182018757,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,6,0.00017383007798343897,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,7,0.0001813489943742752,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,8,0.00017365708481520414,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,NUMPY_FLOAT64,9,0.00017229910008609295,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,QISKIT_AER_STATEVECTOR,0,0.0028177539352327585,0.9965856807867967,0.9999999999999984,1.5590665946170216e-15,2.3314683517128287e-15
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,QISKIT_AER_STATEVECTOR,1,0.0027164960047230124,0.9965856807867967,0.9999999999999984,1.5590665946170216e-15,2.3314683517128287e-15
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,QISKIT_AER_STATEVECTOR,2,0.0027884559240192175,0.9965856807867967,0.9999999999999984,1.5590665946170216e-15,2.3314683517128287e-15
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,QISKIT_AER_STATEVECTOR,3,0.003147425944916904,0.9965856807867967,0.9999999999999984,1.5590665946170216e-15,2.3314683517128287e-15
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,5.381996743381023e-06,QISKIT_AER_STATEVECTOR,4,0.002904684981331229,0.9965856807867967,0.9999999999999984,1.5590665946170216e-15,2.3314683517128287e-15
