target_count,runs,orca_sum_us,orca_mean_us,orca_median_us,orca_p95_us,m2_sum_us,m2_mean_us,m2_median_us,aggregate_speedup,time_reduction_pct
1,100,3395866056,33958660.56,32202494.5,63549283,22818,228.18,214.0,148824.0010518012,99.99932806537055
4,100,1630049877,16300498.77,16024984.5,30310376,13748,137.48,135.5,118566.32797497818,99.999156590225
16,100,886874406,8868744.06,7991774.5,17546278,9432,94.32,92.0,94028.24491094147,99.99893648977395
64,100,400041946,4000419.46,3581443.0,8785411,5942,59.42,56.5,67324.4607876136,99.99851465576063
256,100,183505720,1835057.2,1609808.5,3741800,3858,38.58,36.5,47564.987039917054,99.99789761321881
ALL,500,6496338005,12992676.01,7224174.0,46212612,55798,111.596,87.5,116426.00102154199,99.99914108533213
