target_count,seed_index,seed_j,seed_meas,success,result_index,trial_count,L_BBHT,grover_iterations,termination,saturations,timer_hi,timer_lo,elapsed_us
1,83,2363556494,2975000559,1,507,20,110,110,0,0,0,22205692,22205692
1,84,2277169536,2109667991,1,507,26,277,277,0,0,0,53220046,53220046
1,85,3594356467,4114193610,1,507,22,145,145,0,0,0,28725730,28725730
1,86,4004225282,22417344,1,507,24,200,200,0,0,0,38976822,38976822
1,87,3254707387,3353423192,1,507,23,191,191,0,0,0,37171028,37171028
1,88,117950938,4131693561,1,507,24,199,199,0,0,0,38671191,38671191
1,89,3725433904,1487072911,1,507,16,41,41,0,0,0,9175587,9175587
1,90,2094067655,2671271163,1,507,24,174,174,0,0,0,34254479,34254479
1,91,3838529702,2496739113,1,507,17,53,53,0,0,0,11437238,11437238
1,92,2693276185,418864420,1,507,20,86,86,0,0,0,17727871,17727871
1,93,3291866866,4149891772,1,507,23,192,192,0,0,0,37392252,37392252
1,94,18572272,178471750,1,507,18,62,62,0,0,0,13049559,13049559
1,95,457535095,3997568916,1,507,20,75,75,0,0,0,15752551,15752551
1,96,268994056,4014048049,1,507,24,183,183,0,0,0,35720750,35720750
1,97,1875886930,4177174348,1,507,21,102,102,0,0,0,20739476,20739476
1,98,4217403311,1899337129,1,507,20,102,102,0,0,0,20595664,20595664
1,99,3337336622,150860041,1,507,27,263,263,0,1,0,50610576,50610576
4,0,2065550767,607587826,1,8685,21,119,119,0,0,0,23893174,23893174
4,1,981837020,2746853941,1,8685,23,132,132,0,0,0,26361605,26361605
4,2,1633855666,2266769263,1,2852,19,89,89,0,0,0,18153837,18153837
4,3,3282944846,4122538539,1,2852,20,101,101,0,0,0,20556273,20556273
4,4,732984319,1065588451,1,4724,16,47,47,0,0,0,10209304,10209304
4,5,3663223475,2803464919,1,2852,20,72,72,0,0,0,15156946,15156946
4,6,248580544,1459736146,1,507,9,14,14,0,0,0,3455735,3455735
4,7,271503219,1405575467,1,507,21,112,112,0,0,0,22508598,22508598
4,8,3475617441,891492996,1,2852,15,40,40,0,0,0,8895136,8895136
4,9,3298605890,3500391352,1,2852,23,94,94,0,0,0,19621697,19621697
4,10,1287986467,3993909940,1,2852,19,65,65,0,0,0,13746274,13746274
4,11,4192774778,839435034,1,4724,15,41,41,0,0,0,8969843,8969843
4,12,3718819921,3356515485,1,507,18,42,42,0,0,0,9441847,9441847
4,13,2885358015,4125017950,1,2852,22,128,128,0,0,0,25814237,25814237
4,14,543397905,1802140743,1,4724,17,59,59,0,0,0,12647967,12647967
4,15,2893196498,3397696620,1,8685,21,85,85,0,0,0,17712958,17712958
4,16,1235409529,3778504485,1,2852,21,116,116,0,0,0,23391861,23391861
4,17,1671752151,1634130852,1,507,24,121,121,0,0,0,24507972,24507972
4,18,2307125506,1140547971,1,8685,22,116,116,0,0,0,23458926,23458926
4,19,3060902520,3380271266,1,507,21,82,82,0,0,0,17150105,17150105
4,20,3672856170,2560514877,1,507,22,112,112,0,0,0,22838068,22838068
4,21,4128775168,2739252299,1,2852,9,4,4,0,0,0,1712989,1712989
4,22,1310251090,2693365983,1,507,15,37,37,0,0,0,8223559,8223559
4,23,2687880890,1629349060,1,8685,12,21,21,0,0,0,5276498,5276498
4,24,3259068132,1931736185,1,8685,9,14,14,0,0,0,3421126,3421126
4,25,4225432541,2696990511,1,4724,19,77,77,0,0,0,16002583,16002583
4,26,2755641159,2380888848,1,2852,21,83,83,0,0,0,17189827,17189827
4,27,1746008001,3406234698,1,507,19,77,77,0,0,0,16047386,16047386
4,28,1628298796,2364923577,1,2852,23,142,142,0,0,0,28246977,28246977
4,29,2183404423,3152183097,1,2852,18,62,62,0,0,0,13134685,13134685
4,30,1214542992,3935654379,1,2852,20,80,80,0,0,0,16533421,16533421
4,31,1675574143,2830129121,1,4724,10,14,14,0,0,0,3657452,3657452
4,32,1127294395,841088752,1,4724,21,70,70,0,0,0,14862639,14862639
4,33,2034482752,1715596921,1,8685,20,98,98,0,0,0,19807577,19807577
4,34,650719826,1734158600,1,8685,11,17,17,0,0,0,4249400,4249400
4,35,3689147721,2815421014,1,8685,18,73,73,0,0,0,15270499,15270499
4,36,3270286260,3217075870,1,4724,17,47,47,0,0,0,10404896,10404896
4,37,3891037529,812672172,1,507,20,85,85,0,0,0,17523849,17523849
4,38,3434646356,753926488,1,8685,16,54,54,0,0,0,11549878,11549878
4,39,3037914788,731803788,1,4724,18,71,71,0,0,0,14842719,14842719
4,40,2116828546,2795483541,1,507,18,48,48,0,0,0,10586626,10586626
4,41,1488184749,597824083,1,2852,12,14,14,0,0,0,3786424,3786424
4,42,2584200203,1051168140,1,2852,15,34,34,0,0,0,7777162,7777162
4,43,4059669835,2063653729,1,4724,19,98,98,0,0,0,19859582,19859582
4,44,4221968685,3099080042,1,2852,21,123,123,0,0,0,24498864,24498864
4,45,480642581,3612588106,1,2852,20,102,102,0,0,0,20568416,20568416
4,46,2693122366,431509581,1,507,18,68,68,0,0,0,14371161,14371161
4,47,404293123,2902735026,1,8685,19,76,76,0,0,0,15795848,15795848
4,48,3239328888,3151672269,1,2852,22,95,95,0,0,0,19707271,19707271
4,49,857760764,573285756,1,507,16,44,44,0,0,0,9813635,9813635
4,50,3606316651,2879305492,1,8685,12,9,9,0,0,0,2792939,2792939
4,51,1689870988,2631447832,1,4724,21,111,111,0,0,0,22291770,22291770
4,52,2303616881,2317704238,1,2852,18,73,73,0,0,0,15323916,15323916
4,53,3823528168,4280230083,1,4724,20,77,77,0,0,0,16176020,16176020
4,54,915932166,4225497697,1,2852,24,217,217,0,0,0,42119129,42119129
4,55,290270026,2786569550,1,507,23,124,124,0,0,0,24945279,24945279
4,56,998836193,208452880,1,8685,19,59,59,0,0,0,12741787,12741787
4,57,751868957,2521805223,1,4724,22,166,166,0,0,0,32412810,32412810
4,58,1836746244,3178207686,1,507,21,97,97,0,0,0,19969654,19969654
4,59,531476290,1610680995,1,2852,20,86,86,0,0,0,17865658,17865658
