m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
4,56,dram,8685,19,59,0,23331,0
4,57,dram,4724,22,166,0,24211,0
4,58,dram,507,21,97,0,27739,0
4,59,dram,2852,20,86,0,25965,0
4,60,dram,507,18,84,0,22294,0
4,61,dram,507,22,123,0,28777,0
4,62,dram,2852,23,153,0,28849,0
4,63,dram,2852,18,54,0,23200,0
4,64,dram,507,19,64,0,21107,0
4,65,dram,8685,23,131,0,27759,0
4,66,dram,4724,25,172,0,29983,0
4,67,dram,8685,16,30,0,19415,0
4,68,dram,2852,21,81,0,25263,0
4,69,dram,8685,22,106,0,26830,0
4,70,dram,2852,23,119,0,26915,0
4,71,dram,2852,22,124,0,28414,0
4,72,dram,507,12,15,0,13690,0
4,73,dram,2852,20,66,0,25224,0
4,74,dram,507,21,145,0,24503,0
4,75,dram,2852,9,9,0,10863,0
4,76,dram,2852,16,47,0,20171,0
4,77,dram,507,18,67,0,21248,0
4,78,dram,4724,25,177,0,31410,0
4,79,dram,2852,22,90,0,29201,0
4,80,dram,8685,24,175,0,29774,0
4,81,dram,8685,9,12,0,10271,0
4,82,dram,8685,12,18,0,13462,0
4,83,dram,8685,14,23,0,18018,0
4,84,dram,4724,21,132,0,26316,0
4,85,dram,4724,20,91,0,24940,0
4,86,dram,8685,21,91,0,27530,0
4,87,dram,4724,19,89,0,23589,0
4,88,dram,8685,16,48,0,18354,0
4,89,dram,507,16,41,0,19078,0
4,90,dram,8685,18,54,0,22654,0
4,91,dram,507,17,53,0,20609,0
4,92,dram,2852,11,13,0,12736,0
4,93,dram,8685,20,96,0,23477,0
4,94,dram,4724,19,71,0,23171,0
4,95,dram,8685,17,47,0,20161,0
4,96,dram,8685,19,74,0,21373,0
4,97,dram,2852,22,124,0,27057,0
4,98,dram,8685,20,102,0,24743,0
4,99,dram,8685,16,42,0,19654,0
16,0,dram,4512,11,15,3,18530,0
16,1,dram,507,15,23,6,25491,0
16,2,dram,10593,17,56,7,30531,0
16,3,dram,5281,18,56,2,25031,0
16,4,dram,4512,14,27,0,16462,0
16,5,dram,10839,15,18,0,15980,0
16,6,dram,3947,17,68,0,20428,0
16,7,dram,5281,12,25,0,14804,0
16,8,dram,2852,14,32,0,16626,0
16,9,dram,3947,12,20,0,13811,0
16,10,dram,14405,15,35,0,17859,0
16,11,dram,1721,17,57,0,19522,0
16,12,dram,5281,16,28,0,18943,0
16,13,dram,10593,16,43,0,19440,0
16,14,dram,4724,19,71,0,23428,0
16,15,dram,14405,21,85,16,50630,0
16,16,dram,10931,13,30,0,14395,0
16,17,dram,5281,11,13,0,13308,0
16,18,dram,5281,14,27,0,16315,0
16,19,dram,10931,21,82,0,25836,0
16,20,dram,10931,17,58,0,21254,0
16,21,dram,7786,19,67,0,21750,0
16,22,dram,491,15,37,0,17801,0
16,23,dram,8685,12,21,0,16553,0
16,24,dram,7786,16,47,0,19921,0
16,25,dram,491,9,6,0,10243,0
16,26,dram,4512,15,29,0,15840,0
16,27,dram,3947,14,32,0,15815,0
16,28,dram,5281,11,17,0,13950,0
16,29,dram,7786,14,30,0,15766,0
16,30,dram,3947,15,26,0,16736,0
16,31,dram,2852,14,35,0,18351,0
16,32,dram,5281,21,70,0,25025,0
16,33,dram,491,13,23,0,14233,0
16,34,dram,8685,11,17,0,13658,0
16,35,dram,10593,15,30,0,18352,0
16,36,dram,10931,7,5,0,8112,0
16,37,dram,491,2,1,0,2331,0
16,38,dram,15288,15,40,0,19624,0
16,39,dram,15288,18,71,0,23496,0
16,40,dram,507,18,48,0,21141,0
16,41,dram,491,14,29,0,17165,0
16,42,dram,4512,17,57,0,21247,0
16,43,dram,10839,8,6,0,10268,0
16,44,dram,2852,20,93,0,23597,0
16,45,dram,7786,12,21,0,14484,0
16,46,dram,5281,18,68,0,22359,0
16,47,dram,1801,15,30,0,17128,0
16,48,dram,15288,13,13,0,15664,0
16,49,dram,15288,16,44,0,19661,0
16,50,dram,8685,18,48,0,20710,0
16,51,dram,10931,16,43,0,19990,0
16,52,dram,10931,16,43,0,20705,0
16,53,dram,1801,17,33,0,21978,0
16,54,dram,5281,22,121,0,27671,0
16,55,dram,10931,16,33,0,20900,0
16,56,dram,10931,10,10,0,12001,0
16,57,dram,7786,17,61,0,17986,0
16,58,dram,1721,15,37,0,19730,0
16,59,dram,7786,16,49,0,20409,0
16,60,dram,7786,18,84,0,22541,0
16,61,dram,14405,21,83,0,27599,0
16,62,dram,491,19,77,0,23253,0
16,63,dram,7786,16,42,0,20471,0
16,64,dram,10931,16,32,0,17662,0
16,65,dram,10839,21,67,0,24835,0
16,66,dram,491,15,45,0,16574,0
16,67,dram,8685,16,30,0,19422,0
16,68,dram,3947,21,81,0,25275,0
16,69,dram,5281,17,36,0,20345,0
16,70,dram,2852,4,3,0,3991,0
16,71,dram,2852,16,27,0,20164,0
16,72,dram,491,12,15,0,13664,0
16,73,dram,1721,17,35,0,21527,0
16,74,dram,10593,10,15,0,11407,0
16,75,dram,15288,14,31,0,16733,0
16,76,dram,2852,10,13,0,12134,0
16,77,dram,8685,15,31,0,17387,0
16,78,dram,15288,17,41,0,21316,0
16,79,dram,491,16,43,0,20338,0
16,80,dram,491,12,16,0,14111,0
16,81,dram,8685,9,12,0,10270,0
16,82,dram,8685,12,18,0,13453,0
16,83,dram,2852,10,12,0,12535,0
16,84,dram,7786,18,66,0,22014,0
16,85,dram,2852,18,44,0,22343,0
16,86,dram,7786,15,36,0,19299,0
16,87,dram,7786,16,46,0,19516,0
16,88,dram,10593,16,48,0,18370,0
16,89,dram,5281,14,27,0,16685,0
16,90,dram,5281,18,54,0,23066,0
16,91,dram,10931,17,53,0,20923,0
16,92,dram,507,20,86,0,24295,0
16,93,dram,5281,15,45,0,16823,0
16,94,dram,1721,17,40,0,20334,0
16,95,dram,4724,10,12,0,12146,0
16,96,dram,4724,17,42,0,18778,0
16,97,dram,1801,16,33,0,18756,0
16,98,dram,1801,13,20,0,15706,0
16,99,dram,15288,21,101,0,25996,0
64,0,dram,2852,6,4,2,10786,0
64,1,dram,8685,13,14,3,17972,0
64,2,dram,8089,7,3,0,7652,0
64,3,dram,4876,13,19,0,15512,0
64,4,dram,4720,8,4,0,8839,0
64,5,dram,4876,18,40,6,28837,0
64,6,dram,7786,12,24,0,14113,0
64,7,dram,1801,12,25,0,14330,0
64,8,dram,3304,11,13,0,13067,0
64,9,dram,12001,1,0,0,1446,0
64,10,dram,8685,5,4,0,5489,0
64,11,dram,682,12,19,0,13919,0
64,12,dram,26,14,20,0,16471,0
64,13,dram,9302,11,17,0,12923,0
64,14,dram,14567,12,19,0,13960,0
64,15,dram,7400,10,7,0,10856,0
