m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
1,75,normal,507,15,42,42,18111,0
1,75,ckpt,507,15,42,11,11285,0
1,76,normal,507,17,64,64,24865,0
1,76,ckpt,507,17,64,19,11068,0
1,77,normal,507,22,113,113,40145,0
1,77,ckpt,507,22,113,32,16190,0
1,78,normal,507,31,430,430,128295,0
1,78,ckpt,507,31,430,118,43117,0
1,79,normal,507,24,138,138,47798,0
1,79,ckpt,507,24,138,54,23067,0
1,80,normal,507,27,381,381,113588,0
1,80,ckpt,507,27,381,116,40657,0
1,81,normal,507,28,300,300,92583,0
1,81,ckpt,507,28,300,95,35492,0
1,82,normal,507,27,336,336,101792,0
1,82,ckpt,507,27,336,114,40179,0
1,83,normal,507,20,110,110,38527,0
1,83,ckpt,507,20,110,33,16102,0
1,84,normal,507,26,277,277,85650,0
1,84,ckpt,507,26,277,91,33642,0
1,85,normal,507,22,145,145,48667,0
1,85,ckpt,507,22,145,43,21534,0
1,86,normal,507,24,200,200,64190,0
1,86,ckpt,507,24,200,64,26102,0
1,87,normal,507,23,191,191,61398,0
1,87,ckpt,507,23,191,53,22218,0
1,88,normal,507,24,199,199,63872,0
1,88,ckpt,507,24,199,67,26466,0
1,89,normal,507,16,41,41,18363,0
1,89,ckpt,507,16,41,8,7866,0
1,90,normal,507,24,174,174,57483,0
1,90,ckpt,507,24,174,71,27654,0
1,91,normal,507,17,53,53,22007,0
1,91,ckpt,507,17,53,18,10968,0
1,92,normal,507,20,86,86,32079,0
1,92,ckpt,507,20,86,25,13725,0
1,93,normal,507,23,192,192,61624,0
1,93,ckpt,507,23,192,51,22029,0
1,94,normal,507,18,62,62,24842,0
1,94,ckpt,507,18,62,27,13642,0
1,95,normal,507,20,75,75,29361,0
1,95,ckpt,507,20,75,25,14386,0
1,96,normal,507,24,183,183,59694,0
1,96,ckpt,507,24,183,68,27191,0
1,97,normal,507,21,102,102,36836,0
1,97,ckpt,507,21,102,28,18616,0
1,98,normal,507,20,102,102,36364,0
1,98,ckpt,507,20,102,20,12484,0
1,99,normal,507,27,263,263,82300,0
1,99,ckpt,507,27,263,138,46497,0
4,0,normal,8685,21,119,119,41310,0
4,0,ckpt,8685,21,119,38,17656,0
4,1,normal,8685,23,132,132,45827,0
4,1,ckpt,8685,23,132,43,19752,0
4,2,normal,2852,19,89,89,32387,0
