target_count,runs,normal_sum_us,k4_sum_us,k3_sum_us,normal_over_k4_total_speedup,normal_over_k3_total_speedup,k4_over_k3_total_speedup,normal_median_us,k4_median_us,k3_median_us
1,100,209754.0,72598.0,22818.0,2.8892531474696272,9.192479621351564,3.18161100885266,2010.0,669.0,214.0
4,100,106615.0,40806.0,13748.0,2.61272852031564,7.754946173988944,2.9681408204829793,1054.5,400.5,135.5
16,100,61934.0,26272.0,9432.0,2.3574147381242385,6.5663698049194235,2.785411365564037,575.0,252.0,92.0
64,100,30990.0,15620.0,5942.0,1.9839948783610755,5.215415684954561,2.628744530461124,289.0,155.0,56.5
256,100,16209.0,9601.0,3858.0,1.6882616394125611,4.201399688958009,2.488595127008813,149.5,91.5,36.5
