target_count,seed_index,seed_j,seed_meas,backend,platform,timing_scope,success,termination_reason,result_index,trial_count,L_BBHT,actual_grover_iterations,cycle_count,elapsed_us,execution_seconds,wall_seconds,build_seconds,transpile_seconds
1,5,0xda585ab3,0xa7197ad7,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,155,41,,,0.010773103218525648,0.010773103218525648,,
1,6,0x0ed109c0,0x5701ce52,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,9,14,,,,0.0012365845032036304,0.003095627063885331,,
1,6,0x0ed109c0,0x5701ce52,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,9,14,,,,0.19344387808814645,0.19862725283019245,0.0,0.0
1,6,0x0ed109c0,0x5701ce52,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,9,14,14,,,0.0034545641392469406,0.0034545641392469406,,
1,6,0x0ed109c0,0x5701ce52,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,9,14,4,,,0.0031721070408821106,0.0031721070408821106,,
1,6,0x0ed109c0,0x5701ce52,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,9,14,4,,,0.0033924661111086607,0.0033924661111086607,,
1,7,0x102ecf73,0x53c7612b,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,23,180,,,,0.011569974943995476,0.01649853284470737,,
1,7,0x102ecf73,0x53c7612b,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,23,180,,,,2.2531537082977593,5.2880226341076195,1.4133754610083997,1.40034347679466
1,7,0x102ecf73,0x53c7612b,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,180,180,,,0.02597176586277783,0.02597176586277783,,
1,7,0x102ecf73,0x53c7612b,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,180,52,,,0.021452276967465878,0.021452276967465878,,
1,7,0x102ecf73,0x53c7612b,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,180,52,,,0.015510570025071502,0.015510570025071502,,
1,8,0xcf29b6a1,0x35231a84,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,26,261,,,,0.015277224127203226,0.020889217033982277,,
1,8,0xcf29b6a1,0x35231a84,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,26,261,,,,3.184681514976546,5.903800830012187,1.2774882598314434,1.2295294210780412
1,8,0xcf29b6a1,0x35231a84,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,26,261,261,,,0.03674998995848,0.03674998995848,,
1,8,0xcf29b6a1,0x35231a84,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,26,261,83,,,0.03095811395905912,0.03095811395905912,,
1,8,0xcf29b6a1,0x35231a84,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,26,261,85,,,0.017430005129426718,0.017430005129426718,,
1,9,0xc49cbb42,0xd0a3bbb8,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,24,148,,,,0.008632546523585916,0.013296073069795966,,
1,9,0xc49cbb42,0xd0a3bbb8,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,24,148,,,,1.8043823963962495,3.3834976099897176,0.8196099270135164,0.6098386719822884
1,9,0xc49cbb42,0xd0a3bbb8,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,148,148,,,0.025317616993561387,0.025317616993561387,,
1,9,0xc49cbb42,0xd0a3bbb8,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,148,57,,,0.02470771293155849,0.02470771293155849,,
1,9,0xc49cbb42,0xd0a3bbb8,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,148,68,,,0.017029734095558524,0.017029734095558524,,
1,10,0x4cc51d23,0xee0e3ab4,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,20,93,,,,0.006600996013730764,0.010692440904676914,,
1,10,0x4cc51d23,0xee0e3ab4,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,20,93,,,,1.1762779613491148,2.3341131950728595,0.545402511022985,0.5217570019885898
1,10,0x4cc51d23,0xee0e3ab4,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,20,93,93,,,0.014582381816580892,0.014582381816580892,,
1,10,0x4cc51d23,0xee0e3ab4,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,20,93,30,,,0.02036295202560723,0.02036295202560723,,
1,10,0x4cc51d23,0xee0e3ab4,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,20,93,31,,,0.009259253041818738,0.009259253041818738,,
1,11,0xf9e8aa7a,0x3208c31a,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,22,152,,,,0.009546225192025304,0.014084505150094628,,
1,11,0xf9e8aa7a,0x3208c31a,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,22,152,,,,1.7979826307855546,3.838933281134814,0.8044714028947055,1.043015883071348
