target_count,seed_index,numpy_qiskit_logical_match,fixed_fpga_normal_match,software_k4_fpga_k4_logical_match,software_k4_fpga_k4_physical_iter_match,software_k3_fpga_k3_logical_match,software_k3_fpga_k3_physical_iter_match,all_fpga_logical_match
4,71,True,True,True,True,True,True,True
4,72,True,True,True,True,True,True,True
4,73,True,True,True,True,True,True,True
4,74,True,True,True,True,True,True,True
4,75,True,True,True,True,True,True,True
4,76,True,True,True,True,True,True,True
4,77,True,True,True,True,True,True,True
4,78,True,True,True,True,True,True,True
4,79,True,True,True,True,True,True,True
4,80,True,True,True,True,True,True,True
4,81,True,True,True,True,True,True,True
4,82,True,True,True,True,True,True,True
4,83,True,True,True,True,True,True,True
4,84,True,True,True,True,True,True,True
4,85,True,True,True,True,True,True,True
4,86,True,True,True,True,True,True,True
4,87,True,True,True,True,True,True,True
4,88,True,True,True,True,True,True,True
4,89,True,True,True,True,True,True,True
4,90,True,True,True,True,True,True,True
4,91,True,True,True,True,True,True,True
4,92,True,True,True,True,True,True,True
4,93,True,True,True,True,True,True,True
4,94,True,True,True,True,True,True,True
4,95,True,True,True,True,True,True,True
4,96,True,True,True,True,True,True,True
4,97,True,True,True,True,True,True,True
4,98,True,True,True,True,True,True,True
4,99,True,True,True,True,True,True,True
16,0,True,True,True,True,True,True,True
16,1,True,True,True,True,True,True,True
16,2,True,True,True,True,True,True,True
16,3,True,True,True,True,True,True,True
16,4,True,True,True,True,True,True,True
16,5,True,True,True,True,True,True,True
16,6,True,True,True,True,True,True,True
16,7,True,True,True,True,True,True,True
16,8,True,True,True,True,True,True,True
16,9,True,True,True,True,True,True,True
16,10,True,True,True,True,True,True,True
16,11,True,True,True,True,True,True,True
16,12,True,True,True,True,True,True,True
16,13,True,True,True,True,True,True,True
16,14,True,True,True,True,True,True,True
16,15,True,True,True,True,True,True,True
16,16,True,True,True,True,True,True,True
16,17,True,True,True,True,True,True,True
16,18,True,True,True,True,True,True,True
16,19,True,True,True,True,True,True,True
16,20,True,True,True,True,True,True,True
16,21,True,True,True,True,True,True,True
16,22,True,True,True,True,True,True,True
16,23,True,True,True,True,True,True,True
16,24,True,True,True,True,True,True,True
16,25,True,True,True,True,True,True,True
16,26,True,True,True,True,True,True,True
16,27,True,True,True,True,True,True,True
16,28,True,True,True,True,True,True,True
16,29,True,True,True,True,True,True,True
16,30,True,True,True,True,True,True,True
16,31,True,True,True,True,True,True,True
16,32,True,True,True,True,True,True,True
16,33,True,True,True,True,True,True,True
16,34,True,True,True,True,True,True,True
16,35,True,True,True,True,True,True,True
16,36,True,True,True,True,True,True,True
16,37,True,True,True,True,True,True,True
16,38,True,True,True,True,True,True,True
16,39,True,True,True,True,True,True,True
16,40,True,True,True,True,True,True,True
16,41,True,True,True,True,True,True,True
16,42,True,True,True,True,True,True,True
16,43,True,True,True,True,True,True,True
16,44,True,True,True,True,True,True,True
16,45,True,True,True,True,True,True,True
16,46,True,True,True,True,True,True,True
16,47,True,True,True,True,True,True,True
16,48,True,True,True,True,True,True,True
16,49,True,True,True,True,True,True,True
16,50,True,True,True,True,True,True,True
16,51,True,True,True,True,True,True,True
16,52,True,True,True,True,True,True,True
16,53,True,True,True,True,True,True,True
16,54,True,True,True,True,True,True,True
16,55,True,True,True,True,True,True,True
16,56,True,True,True,True,True,True,True
16,57,True,True,True,True,True,True,True
16,58,True,True,True,True,True,True,True
16,59,True,True,True,True,True,True,True
16,60,True,True,True,True,True,True,True
16,61,True,True,True,True,True,True,True
16,62,True,True,True,True,True,True,True
16,63,True,True,True,True,True,True,True
16,64,True,True,True,True,True,True,True
16,65,True,True,True,True,True,True,True
16,66,True,True,True,True,True,True,True
16,67,True,True,True,True,True,True,True
16,68,True,True,True,True,True,True,True
16,69,True,True,True,True,True,True,True
16,70,True,True,True,True,True,True,True
16,71,True,True,True,True,True,True,True
16,72,True,True,True,True,True,True,True
