target_count,backend,runs,success_rate,median_trial_count,p95_trial_count,median_L_BBHT,p95_L_BBHT,median_actual_grover_iterations,p95_actual_grover_iterations,median_execution_seconds,p95_execution_seconds,timing_scope
64,SOFTWARE_K3H3,100,1.0,11.0,16.0,13.0,40.0,5.0,13.0,0.0028615350602194667,0.005022220872342586,PYTHON_FIXED_MODEL_WALL
64,SOFTWARE_K4H4,100,1.0,11.0,16.0,13.0,40.0,5.0,12.049999999999997,0.0029686554335057735,0.00502447698963806,PYTHON_FIXED_MODEL_WALL
256,FPGA_K3H3_E4_M2,100,1.0,7.0,12.0,5.0,14.049999999999997,2.0,5.0,3.65e-05,6.225e-05,BOARD_COMMAND_TO_RESULT_ELAPSED
256,FPGA_K4H4_E1,100,1.0,7.0,12.0,5.0,14.049999999999997,2.0,5.0,9.15e-05,0.000157,BOARD_COMMAND_TO_RESULT_ELAPSED
256,FPGA_NORMAL_E1,100,1.0,7.0,12.0,5.0,14.049999999999997,5.0,14.049999999999997,0.0001495,0.00030655,BOARD_COMMAND_TO_RESULT_ELAPSED
256,NUMPY_FLOAT64,100,1.0,7.0,12.0,5.0,14.049999999999997,,,0.0006925734924152493,0.0016136071877554058,NUMPY_CORE_ONLY
256,QISKIT_AER_STATEVECTOR,100,1.0,7.0,12.0,5.0,14.049999999999997,,,0.055797827313654125,0.21121051399968566,AER_EXECUTION_ONLY
256,RTL_FIXED_NORMAL,100,1.0,7.0,12.0,5.0,14.049999999999997,5.0,14.049999999999997,0.0023866865085437894,0.004836009046994149,PYTHON_FIXED_MODEL_WALL
256,SOFTWARE_K3H3,100,1.0,7.0,12.0,5.0,14.049999999999997,2.0,5.0,0.0017705034697428346,0.00301687519531697,PYTHON_FIXED_MODEL_WALL
256,SOFTWARE_K4H4,100,1.0,7.0,12.0,5.0,14.049999999999997,2.0,5.0,0.0018203315557911992,0.0032499955268576737,PYTHON_FIXED_MODEL_WALL
