target_count,seed_index,policy,software_actual_grover_iterations,fpga_actual_grover_iterations,delta,exact_match
1,92,K3H3,25,25,0,1
1,93,K4H4,50,50,0,1
1,93,K3H3,51,51,0,1
1,94,K4H4,23,23,0,1
1,94,K3H3,27,27,0,1
1,95,K4H4,18,18,0,1
1,95,K3H3,25,25,0,1
1,96,K4H4,64,64,0,1
1,96,K3H3,68,68,0,1
1,97,K4H4,26,26,0,1
1,97,K3H3,28,28,0,1
1,98,K4H4,20,20,0,1
1,98,K3H3,20,20,0,1
1,99,K4H4,138,138,0,1
1,99,K3H3,138,138,0,1
4,0,K4H4,38,38,0,1
4,0,K3H3,38,38,0,1
4,1,K4H4,43,43,0,1
4,1,K3H3,43,43,0,1
4,2,K4H4,24,24,0,1
4,2,K3H3,24,24,0,1
4,3,K4H4,28,28,0,1
4,3,K3H3,29,29,0,1
4,4,K4H4,11,11,0,1
4,4,K3H3,11,11,0,1
4,5,K4H4,18,18,0,1
4,5,K3H3,18,18,0,1
4,6,K4H4,4,4,0,1
4,6,K3H3,4,4,0,1
4,7,K4H4,36,36,0,1
4,7,K3H3,36,36,0,1
4,8,K4H4,8,8,0,1
4,8,K3H3,8,8,0,1
4,9,K4H4,29,29,0,1
4,9,K3H3,40,40,0,1
4,10,K4H4,19,19,0,1
4,10,K3H3,20,20,0,1
4,11,K4H4,10,10,0,1
4,11,K3H3,10,10,0,1
4,12,K4H4,10,10,0,1
4,12,K3H3,12,12,0,1
4,13,K4H4,41,41,0,1
4,13,K3H3,44,44,0,1
4,14,K4H4,14,14,0,1
4,14,K3H3,14,14,0,1
4,15,K4H4,35,35,0,1
4,15,K3H3,39,39,0,1
4,16,K4H4,21,21,0,1
4,16,K3H3,21,21,0,1
4,17,K4H4,33,33,0,1
4,17,K3H3,43,43,0,1
4,18,K4H4,25,25,0,1
4,18,K3H3,28,28,0,1
4,19,K4H4,28,28,0,1
4,19,K3H3,33,33,0,1
4,20,K4H4,29,29,0,1
4,20,K3H3,38,38,0,1
4,21,K4H4,4,4,0,1
4,21,K3H3,4,4,0,1
4,22,K4H4,9,9,0,1
4,22,K3H3,9,9,0,1
4,23,K4H4,7,7,0,1
4,23,K3H3,7,7,0,1
4,24,K4H4,4,4,0,1
4,24,K3H3,4,4,0,1
4,25,K4H4,22,22,0,1
4,25,K3H3,22,22,0,1
4,26,K4H4,22,22,0,1
4,26,K3H3,22,22,0,1
4,27,K4H4,21,21,0,1
4,27,K3H3,22,22,0,1
4,28,K4H4,30,30,0,1
4,28,K3H3,32,32,0,1
4,29,K4H4,19,19,0,1
4,29,K3H3,21,21,0,1
4,30,K4H4,25,25,0,1
4,30,K3H3,26,26,0,1
4,31,K4H4,4,4,0,1
4,31,K3H3,4,4,0,1
4,32,K4H4,25,25,0,1
4,32,K3H3,26,26,0,1
4,33,K4H4,28,28,0,1
4,33,K3H3,31,31,0,1
4,34,K4H4,4,4,0,1
4,34,K3H3,4,4,0,1
4,35,K4H4,17,17,0,1
4,35,K3H3,17,17,0,1
4,36,K4H4,17,17,0,1
4,36,K3H3,18,18,0,1
4,37,K4H4,31,31,0,1
4,37,K3H3,32,32,0,1
4,38,K4H4,14,14,0,1
4,38,K3H3,14,14,0,1
4,39,K4H4,22,22,0,1
4,39,K3H3,22,22,0,1
4,40,K4H4,13,13,0,1
4,40,K3H3,13,13,0,1
4,41,K4H4,7,7,0,1
4,41,K3H3,7,7,0,1
4,42,K4H4,12,12,0,1
4,42,K3H3,12,12,0,1
4,43,K4H4,20,20,0,1
4,43,K3H3,20,20,0,1
4,44,K4H4,31,31,0,1
4,44,K3H3,32,32,0,1
4,45,K4H4,33,33,0,1
4,45,K3H3,33,33,0,1
4,46,K4H4,17,17,0,1
4,46,K3H3,18,18,0,1
4,47,K4H4,26,26,0,1
4,47,K3H3,26,26,0,1
4,48,K4H4,34,34,0,1
4,48,K3H3,35,35,0,1
4,49,K4H4,12,12,0,1
4,49,K3H3,12,12,0,1
4,50,K4H4,2,2,0,1
4,50,K3H3,2,2,0,1
4,51,K4H4,23,23,0,1
4,51,K3H3,23,23,0,1
4,52,K4H4,21,21,0,1
4,52,K3H3,21,21,0,1
4,53,K4H4,26,26,0,1
4,53,K3H3,26,26,0,1
4,54,K4H4,64,64,0,1
4,54,K3H3,66,66,0,1
4,55,K4H4,52,52,0,1
4,55,K3H3,52,52,0,1
4,56,K4H4,20,20,0,1
4,56,K3H3,21,21,0,1
4,57,K4H4,40,40,0,1
4,57,K3H3,42,42,0,1
4,58,K4H4,21,21,0,1
4,58,K3H3,21,21,0,1
4,59,K4H4,20,20,0,1
4,59,K3H3,25,25,0,1
4,60,K4H4,21,21,0,1
4,60,K3H3,23,23,0,1
4,61,K4H4,46,46,0,1
4,61,K3H3,48,48,0,1
4,62,K4H4,34,34,0,1
4,62,K3H3,34,34,0,1
4,63,K4H4,10,10,0,1
4,63,K3H3,11,11,0,1
4,64,K4H4,15,15,0,1
4,64,K3H3,16,16,0,1
4,65,K4H4,62,62,0,1
4,65,K3H3,64,64,0,1
4,66,K4H4,58,58,0,1
4,66,K3H3,65,65,0,1
4,67,K4H4,8,8,0,1
4,67,K3H3,9,9,0,1
4,68,K4H4,30,30,0,1
4,68,K3H3,31,31,0,1
4,69,K4H4,26,26,0,1
4,69,K3H3,27,27,0,1
4,70,K4H4,32,32,0,1
4,70,K3H3,42,42,0,1
4,71,K4H4,37,37,0,1
4,71,K3H3,40,40,0,1
4,72,K4H4,4,4,0,1
4,72,K3H3,4,4,0,1
4,73,K4H4,17,17,0,1
4,73,K3H3,18,18,0,1
4,74,K4H4,33,33,0,1
4,74,K3H3,33,33,0,1
4,75,K4H4,4,4,0,1
4,75,K3H3,4,4,0,1
4,76,K4H4,12,12,0,1
4,76,K3H3,13,13,0,1
4,77,K4H4,22,22,0,1
4,77,K3H3,22,22,0,1
4,78,K4H4,57,57,0,1
4,78,K3H3,69,69,0,1
4,79,K4H4,28,28,0,1
4,79,K3H3,31,31,0,1
4,80,K4H4,48,48,0,1
4,80,K3H3,48,48,0,1
4,81,K4H4,3,3,0,1
4,81,K3H3,3,3,0,1
4,82,K4H4,5,5,0,1
4,82,K3H3,5,5,0,1
4,83,K4H4,8,8,0,1
4,83,K3H3,9,9,0,1
4,84,K4H4,25,25,0,1
4,84,K3H3,28,28,0,1
4,85,K4H4,24,24,0,1
4,85,K3H3,29,29,0,1
4,86,K4H4,20,20,0,1
4,86,K3H3,20,20,0,1
4,87,K4H4,20,20,0,1
4,87,K3H3,20,20,0,1
4,88,K4H4,15,15,0,1
4,88,K3H3,16,16,0,1
4,89,K4H4,8,8,0,1
4,89,K3H3,8,8,0,1
4,90,K4H4,21,21,0,1
4,90,K3H3,24,24,0,1
4,91,K4H4,18,18,0,1
4,91,K3H3,18,18,0,1
4,92,K4H4,6,6,0,1
4,92,K3H3,6,6,0,1
