scenario_id,qubits,N,data_count,target_count,requested_j,predicate_mode,target_mask_sha256,shared_input_prepare_seconds,backend,repeat,execution_seconds,target_probability,norm,phase_aligned_l2_vs_numpy,success_probability_error_vs_numpy
q6_m1_j6,6,64,64,1,6,EQ,16abab341fb7f370e27e4dadcf81766dd0dfd0ae64469477bb2cf6614938b2af,1.4309072867035866e-05,NUMPY_FLOAT64,0,0.0005492860218510032,0.996585680786799,0.9999999999999996,0.0,0.0
q6_m1_j6,6,64,64,1,6,EQ,16abab341fb7f370e27e4dadcf81766dd0dfd0ae64469477bb2cf6614938b2af,1.4309072867035866e-05,QISKIT_AER_STATEVECTOR,0,0.008038425934500992,0.9965856807867969,0.9999999999999981,1.388080345899152e-15,2.1094237467877974e-15
q6_m4_j3,6,64,64,4,3,EQ,5f2a2f7b0eca13f00f1941f90da5a9529204bba62924cce6b7ac814e05d6357e,5.018082447350025e-06,NUMPY_FLOAT64,0,0.0002626030473038554,0.9613189697265625,1.0,0.0,0.0
q6_m4_j3,6,64,64,4,3,EQ,5f2a2f7b0eca13f00f1941f90da5a9529204bba62924cce6b7ac814e05d6357e,5.018082447350025e-06,QISKIT_AER_STATEVECTOR,0,0.002192460000514984,0.9613189697265614,0.999999999999999,7.611088484480167e-16,1.1102230246251565e-15
q8_m1_j12,8,256,256,1,12,EQ,d577b6dfa736657f93c3223b466c256c988d5eb5f02cc27ad47f92c1406f7dd2,6.490037776529789e-06,NUMPY_FLOAT64,0,0.0005499679828062654,0.9999470421032738,0.9999999999999994,0.0,0.0
q8_m1_j12,8,256,256,1,12,EQ,d577b6dfa736657f93c3223b466c256c988d5eb5f02cc27ad47f92c1406f7dd2,6.490037776529789e-06,QISKIT_AER_STATEVECTOR,0,0.0050383200868964195,0.9999470421032702,0.9999999999999959,2.188734831589348e-15,3.552713678800501e-15
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,4.524947144091129e-06,NUMPY_FLOAT64,0,0.00021152803674340248,0.996585680786799,0.9999999999999991,0.0,0.0
q8_m4_j6,8,256,256,4,6,EQ,2c37c27dc27c989cd1c0ce391e96e8b6c6c3b8f099114bd196ba6e24cbcf239b,4.524947144091129e-06,QISKIT_AER_STATEVECTOR,0,0.004326693015173078,0.9965856807867967,0.9999999999999984,1.5590665946170216e-15,2.3314683517128287e-15
