target,pairs,ratio_of_sums_speedup,mean_pair_speedup,min_pair_speedup,p05_pair_speedup,p50_pair_speedup,p95_pair_speedup,max_pair_speedup,mean_delta_cycles,min_delta_cycles,p05_delta_cycles,p50_delta_cycles,p95_delta_cycles,max_delta_cycles,mean_delta_iter,h4_faster_count,tie_count,h4_slower_count
ALL,250,2.594586854173475,2.2543678562745924,0.9316569954867827,1.4673393002515493,2.223083883061422,3.3229064061227733,3.825778404756078,49731.388,-106,3640.3499999999995,25437.0,188724.30000000016,273261,42.544,248,0,2
1,50,2.9368394954240187,2.902681210281512,1.9424301259764303,2.2376664433115203,2.915473789343838,3.5697336388688448,3.825778404756078,134364.56,14285,35612.25,133296.5,240237.14999999997,273261,122.0,50,0,0
4,50,2.5737964540776854,2.5174181226412267,1.3168602322787344,1.8463492034120683,2.5475212814582515,3.2318301523798008,3.5987281244690403,60419.84,3956,13241.1,61607.5,103876.79999999999,125534,51.62,50,0,0
16,50,2.3819148762622553,2.3077714457865546,1.1354272205336036,1.5332379111073906,2.3320741223492645,2.8743918104526345,3.23610741823983,33884.0,401,5642.05,27759.0,62164.09999999999,84100,26.92,50,0,0
64,50,1.9440711756394196,1.861093846845555,0.9316569954867827,1.3745275616209869,1.8385025834687845,2.346593375861705,2.4705846417007757,13202.42,-106,1654.35,13240.0,25562.15,36933,8.6,49,0,1
256,50,1.7017878416837646,1.682874655818112,0.9316569954867827,1.3606131433602817,1.7105888997652774,1.9765844139512594,2.10386523356759,6786.12,-106,2679.25,7063.5,13857.049999999996,15516,3.58,49,0,1
