target,seed,normal_cycles,h4_cycles,delta_cycles,speedup,normal_iter,h4_iter,delta_iter
4,49,67739,27216,40523,2.488940329218107,44,12,32
16,0,30393,13020,17373,2.334331797235023,15,3,12
16,1,43028,22156,20872,1.9420473009568515,23,9,14
16,2,80091,31094,48997,2.575770245063356,56,16,40
16,3,81824,37644,44180,2.173626607161832,56,20,36
16,4,46403,19539,26864,2.3748912431547162,27,7,20
16,5,38171,18274,19897,2.0888147094232243,18,5,13
16,6,92203,32788,59415,2.812095888739783,68,17,51
16,7,41133,17472,23661,2.354223901098901,25,7,18
16,8,52248,19926,32322,2.6221017765733214,32,7,25
16,9,37555,17610,19945,2.13259511641113,20,6,14
16,10,55547,28183,27364,1.9709399283255864,35,11,24
16,11,80450,25097,55353,3.2055624178188626,57,10,47
16,12,49915,24674,25241,2.0229796546972523,28,10,18
16,13,66939,23268,43671,2.8768695203713253,43,8,35
16,14,99848,35440,64408,2.8173814898419867,71,16,55
16,15,116193,57145,59048,2.03330125120308,85,35,50
16,16,48468,20314,28154,2.3859407305306686,30,8,22
16,17,28274,14006,14268,2.0187062687419677,13,4,9
16,18,46256,21616,24640,2.139896373056995,27,9,18
16,19,113101,50495,62606,2.239845529260323,82,28,54
16,20,83215,29195,54020,2.850316835074499,58,13,45
16,21,94554,32930,61624,2.8713634983297904,67,15,52
16,22,57555,21772,35783,2.6435329781370567,37,9,28
16,23,39266,19325,19941,2.031875808538163,21,7,14
16,24,70004,26647,43357,2.6270874770142982,47,12,35
16,25,17464,12150,5314,1.437366255144033,6,2,4
16,26,48878,22243,26635,2.197455379220429,29,10,19
16,27,51953,22874,29079,2.2712686893416105,32,10,22
16,28,32016,14650,17366,2.1853924914675766,17,5,12
16,29,49838,18599,31239,2.67960643045325,30,6,24
16,30,46159,19524,26635,2.3642183978692892,26,7,19
16,31,55008,21860,33148,2.516376944190302,35,9,26
16,32,99894,43455,56439,2.2987918536416982,70,25,45
16,33,40559,17006,23553,2.3849817711395978,23,6,17
16,34,32240,13838,18402,2.3298164474635064,17,4,13
16,35,51391,26746,24645,1.9214461975622523,30,12,18
16,36,15334,9291,6043,1.6504143795070498,5,2,3
16,37,3362,2961,401,1.1354272205336036,1,1,0
16,38,61961,23869,38092,2.5958774980099713,40,9,31
16,39,97853,40267,57586,2.4301040554300046,71,22,49
16,40,73287,30008,43279,2.442248733671021,48,13,35
16,41,48140,21406,26734,2.248902176959731,29,9,20
16,42,81659,30986,50673,2.6353514490415026,57,15,42
16,43,16458,14281,2177,1.1524403053007493,6,3,3
16,44,121710,37610,84100,3.23610741823983,93,20,73
16,45,36681,16737,19944,2.191611399892454,21,7,14
16,46,95165,34817,60348,2.733291208317776,68,17,51
16,47,50683,25089,25594,2.0201283430985693,30,12,18
16,48,31660,18437,13223,1.717199110484352,13,6,7
16,49,68193,27646,40547,2.4666497865875714,44,12,32
64,0,12326,7826,4500,1.5750063889598773,4,2,2
64,1,31381,16241,15140,1.9322086078443446,14,5,9
64,2,12292,8318,3974,1.4777590767011302,3,2,1
64,3,37190,16738,20452,2.221890309475445,19,5,14
64,4,15027,9508,5519,1.5804585612116113,4,2,2
64,5,64965,28032,36933,2.3175299657534247,40,12,28
64,6,40441,16369,24072,2.4705846417007757,24,6,18
64,7,40659,17153,23506,2.3703725295866613,25,7,18
64,8,28549,15311,13238,1.8646071451897328,13,5,8
64,9,1445,1551,-106,0.9316569954867827,0,0,0
64,10,10648,6658,3990,1.599279062781616,4,2,2
64,11,35082,17355,17727,2.0214347450302506,19,7,12
64,12,39181,23202,15979,1.6886906301180933,20,10,10
