target_count,runs,normal_sum_us,k4h4_sum_us,aggregate_speedup,aggregate_reduction_pct,normal_median_us,k4h4_median_us,median_ratio
1,100,209754,72598,2.8892531474696272,65.38897947119007,2010.0,669.0,3.004484304932735
4,100,106615,40806,2.61272852031564,61.72583595178915,1054.5,400.5,2.6329588014981273
16,100,61934,26272,2.3574147381242385,57.58065036974844,575.0,252.0,2.2817460317460316
64,100,30990,15620,1.9839948783610755,49.596644078735075,289.0,155.0,1.864516129032258
256,100,16209,9601,1.6882616394125611,40.76747485964588,149.5,91.5,1.633879781420765
ALL,500,425502,164897,2.5804108018945158,61.24648062758812,525.0,235.5,2.229299363057325
