m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,policy_cycles,policy_stall,policy_actions,cold,spec,mismatch
1,51,normal,507,22,122,122,42502,0,0,0,0,0,0
1,51,k4,507,22,122,23,14212,4236,532,615,1,22,0
1,52,normal,507,26,256,256,79932,0,0,0,0,0,0
1,52,k4,507,26,256,89,32999,5592,268,979,1,26,0
1,53,normal,507,24,167,167,55526,0,0,0,0,0,0
1,53,k4,507,24,167,43,20229,8097,142,783,1,24,0
1,54,normal,507,25,283,283,86727,0,0,0,0,0,0
1,54,k4,507,25,283,71,27948,5890,230,1023,1,25,0
1,55,normal,507,26,269,269,83461,0,0,0,0,0,0
1,55,k4,507,26,269,83,31429,4841,220,709,1,26,0
1,56,normal,507,23,142,142,48367,0,0,0,0,0,0
1,56,k4,507,23,142,55,22734,4654,140,769,1,23,0
1,57,normal,507,24,241,241,75057,0,0,0,0,0,0
1,57,k4,507,24,241,67,26272,5383,160,935,1,24,0
1,58,normal,507,28,369,369,110846,0,0,0,0,0,0
1,58,k4,507,28,369,134,46144,6281,775,1009,1,28,0
1,59,normal,507,24,141,141,48642,0,0,0,0,0,0
1,59,k4,507,24,141,33,17627,5003,319,790,1,24,0
1,60,normal,507,21,135,135,45633,0,0,0,0,0,0
1,60,k4,507,21,135,33,16790,4479,649,675,1,21,0
1,61,normal,507,27,306,306,93683,0,0,0,0,0,0
1,61,k4,507,27,306,97,36141,5907,916,942,1,27,0
1,62,normal,507,24,196,196,63138,0,0,0,0,0,0
1,62,k4,507,24,196,44,20301,5063,284,819,1,24,0
1,63,normal,507,19,67,67,26612,0,0,0,0,0,0
1,63,k4,507,19,67,14,10442,2899,103,380,1,19,0
1,64,normal,507,23,129,129,44879,0,0,0,0,0,0
1,64,k4,507,23,129,37,21751,8108,3706,833,1,23,0
1,65,normal,507,26,277,277,85473,0,0,0,0,0,0
1,65,k4,507,26,277,94,34133,5407,111,874,1,26,0
1,66,normal,507,15,45,45,18967,0,0,0,0,0,0
1,66,k4,507,15,45,12,8864,2776,368,429,1,15,0
1,67,normal,507,22,105,105,38126,0,0,0,0,0,0
1,67,k4,507,22,105,48,20891,4674,197,758,1,22,0
1,68,normal,507,26,239,239,75659,0,0,0,0,0,0
1,68,k4,507,26,239,80,30678,5032,247,786,1,26,0
1,69,normal,507,23,160,160,53116,0,0,0,0,0,0
1,69,k4,507,23,160,56,23097,4905,259,845,1,23,0
1,70,normal,507,26,243,243,76504,0,0,0,0,0,0
1,70,k4,507,26,243,98,36016,5597,883,905,1,26,0
1,71,normal,507,25,235,235,73961,0,0,0,0,0,0
1,71,k4,507,25,235,41,19883,4818,298,703,1,25,0
1,72,normal,507,12,15,15,9580,0,0,0,0,0,0
1,72,k4,507,12,15,4,5399,1198,97,119,1,12,0
1,73,normal,507,19,49,49,21707,0,0,0,0,0,0
1,73,k4,507,19,49,13,10084,3420,145,511,1,19,0
1,74,normal,507,23,212,212,66876,0,0,0,0,0,0
1,74,k4,507,23,212,40,18918,4999,334,808,1,23,0
1,75,normal,507,15,42,42,18111,0,0,0,0,0,0
1,75,k4,507,15,42,11,11285,5618,3117,317,1,15,0
1,76,normal,507,17,64,64,24865,0,0,0,0,0,0
1,76,k4,507,17,64,19,11068,3979,100,699,1,17,0
1,77,normal,507,22,113,113,40145,0,0,0,0,0,0
1,77,k4,507,22,113,32,16190,4403,107,723,1,22,0
1,78,normal,507,31,430,430,128295,0,0,0,0,0,0
1,78,k4,507,31,430,118,43117,7236,934,1187,1,31,0
1,79,normal,507,24,138,138,47798,0,0,0,0,0,0
1,79,k4,507,24,138,54,23067,5714,233,1018,1,24,0
1,80,normal,507,27,381,381,113588,0,0,0,0,0,0
1,80,k4,507,27,381,116,40657,6236,365,1078,1,27,0
1,81,normal,507,28,300,300,92583,0,0,0,0,0,0
1,81,k4,507,28,300,95,35492,6575,559,1049,1,28,0
1,82,normal,507,27,336,336,101792,0,0,0,0,0,0
1,82,k4,507,27,336,114,40179,5694,290,909,1,27,0
1,83,normal,507,20,110,110,38527,0,0,0,0,0,0
1,83,k4,507,20,110,33,16102,4913,319,853,1,20,0
1,84,normal,507,26,277,277,85650,0,0,0,0,0,0
1,84,k4,507,26,277,91,33642,6268,228,1059,1,26,0
1,85,normal,507,22,145,145,48667,0,0,0,0,0,0
1,85,k4,507,22,145,43,21534,8044,2353,750,1,22,0
1,86,normal,507,24,200,200,64190,0,0,0,0,0,0
1,86,k4,507,24,200,64,26102,5702,656,966,1,24,0
1,87,normal,507,23,191,191,61398,0,0,0,0,0,0
1,87,k4,507,23,191,53,22218,4516,106,731,1,23,0
1,88,normal,507,24,199,199,63872,0,0,0,0,0,0
1,88,k4,507,24,199,67,26466,5439,280,923,1,24,0
1,89,normal,507,16,41,41,18363,0,0,0,0,0,0
1,89,k4,507,16,41,8,7866,2437,101,303,1,16,0
1,90,normal,507,24,174,174,57483,0,0,0,0,0,0
1,90,k4,507,24,174,71,27654,4828,311,743,1,24,0
1,91,normal,507,17,53,53,22007,0,0,0,0,0,0
1,91,k4,507,17,53,18,10968,3156,214,487,1,17,0
1,92,normal,507,20,86,86,32079,0,0,0,0,0,0
1,92,k4,507,20,86,25,13725,3815,158,564,1,20,0
1,93,normal,507,23,192,192,61624,0,0,0,0,0,0
1,93,k4,507,23,192,51,22029,4240,359,580,1,23,0
1,94,normal,507,18,62,62,24842,0,0,0,0,0,0
1,94,k4,507,18,62,27,13642,3925,168,663,1,18,0
1,95,normal,507,20,75,75,29361,0,0,0,0,0,0
1,95,k4,507,20,75,25,14386,3760,620,531,1,20,0
1,96,normal,507,24,183,183,59694,0,0,0,0,0,0
1,96,k4,507,24,183,68,27191,5492,674,846,1,24,0
