target_count,seed_j,backend,attempt,m_bound,requested_j,result_index,success,target_probability,execution_seconds
1,2,NUMPY_FLOAT64,17,19,13,5280,False,0.04383948622338856,0.0013573539908975363
1,2,NUMPY_FLOAT64,18,23,19,10646,False,0.08999882408905392,0.0016093889717012644
1,2,NUMPY_FLOAT64,19,27,15,0,True,0.057518068989633325,0.001189755043014884
1,2,QISKIT_AER_STATEVECTOR,1,1,0,13090,False,6.103515625000003e-05,0.0018660719506442547
1,2,QISKIT_AER_STATEVECTOR,2,2,1,153,False,0.0005492270029208162,0.01822014304343611
1,2,QISKIT_AER_STATEVECTOR,3,2,1,6489,False,0.0005492270029208162,0.015121294069103897
1,2,QISKIT_AER_STATEVECTOR,4,2,1,6571,False,0.0005492270029208162,0.018698611995205283
1,2,QISKIT_AER_STATEVECTOR,5,3,2,3525,False,0.0015251339755106847,0.02953605994116515
1,2,QISKIT_AER_STATEVECTOR,6,3,2,10046,False,0.0015251339755106847,0.026615276001393795
1,2,QISKIT_AER_STATEVECTOR,7,3,1,8280,False,0.0005492270029208162,0.01562179799657315
1,2,QISKIT_AER_STATEVECTOR,8,4,2,5050,False,0.0015251339755106847,0.0349739691009745
1,2,QISKIT_AER_STATEVECTOR,9,5,3,8067,False,0.0029878030980352737,0.04983093496412039
1,2,QISKIT_AER_STATEVECTOR,10,6,2,4857,False,0.0015251339755106847,0.0267470310209319
1,2,QISKIT_AER_STATEVECTOR,11,7,1,6627,False,0.0005492270029208162,0.016920663067139685
1,2,QISKIT_AER_STATEVECTOR,12,8,3,5890,False,0.0029878030980352737,0.04181847407016903
1,2,QISKIT_AER_STATEVECTOR,13,9,6,9213,False,0.010279732566874785,0.05812397599220276
1,2,QISKIT_AER_STATEVECTOR,14,11,9,13810,False,0.02187277996348911,0.10269203200004995
1,2,QISKIT_AER_STATEVECTOR,15,13,6,12794,False,0.010279732566874785,0.07405196106992662
1,2,QISKIT_AER_STATEVECTOR,16,16,1,9990,False,0.0005492270029208162,0.010776008944958448
1,2,QISKIT_AER_STATEVECTOR,17,19,13,5280,False,0.04383948622338834,0.1570164499571547
1,2,QISKIT_AER_STATEVECTOR,18,23,19,10646,False,0.08999882408905313,0.21263472107239068
1,2,QISKIT_AER_STATEVECTOR,19,27,15,0,True,0.05751806898963299,0.18482167599722743
1,3,NUMPY_FLOAT64,1,1,0,12967,False,6.103515625e-05,0.00012034201063215733
1,3,NUMPY_FLOAT64,2,2,0,4269,False,6.103515625e-05,0.00010337494313716888
