target_count,seed_j,seed_meas,backend,success,termination_reason,result_index,trial_count,L_BBHT,execution_seconds,wall_seconds,build_seconds,transpile_seconds
1,1,2779077211,NUMPY_FLOAT64,1,SUCCESS,0,20,99,0.006390037713572383,0.011358789051882923,,
1,1,2779077211,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,20,99,1.3305241896305233,4.613261413993314,1.2650063171749935,1.725834102020599
1,2,2779077208,NUMPY_FLOAT64,1,SUCCESS,0,19,88,0.00880846893414855,0.014668390969745815,,
1,2,2779077208,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,19,88,1.0960871522547677,3.4701650430215523,0.8909064169274643,1.2872345491778105
1,3,2779077209,NUMPY_FLOAT64,1,SUCCESS,0,20,94,0.008458469063043594,0.015059424913488328,,
1,3,2779077209,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,20,94,1.1476194219430909,3.3779884219402447,0.8818915310548618,1.1826063258340582
1,4,2779077214,NUMPY_FLOAT64,1,SUCCESS,0,21,110,0.013343892060220242,0.022466421010904014,,
1,4,2779077214,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,21,110,1.47388976207003,1.9922097609378397,0.23375724500510842,0.21556693594902754
1,5,2779077215,NUMPY_FLOAT64,1,SUCCESS,0,22,154,0.012955867452546954,0.02041383204050362,,
1,5,2779077215,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,22,154,2.05548216891475,4.1803810090059415,0.9524412249447778,0.9534960341406986
1,6,2779077212,NUMPY_FLOAT64,1,SUCCESS,0,22,124,0.012897779233753681,0.021316083963029087,,
1,6,2779077212,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,22,124,1.6175597088877112,3.776770868920721,0.9892022529384121,0.9734279289841652
1,7,2779077213,NUMPY_FLOAT64,1,SUCCESS,0,21,145,0.013298493111506104,0.021712786983698606,,
1,7,2779077213,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,21,145,1.9110670679947361,4.810788389062509,1.4042635940713808,1.2278727220837027
1,8,2779077202,NUMPY_FLOAT64,1,SUCCESS,0,24,199,0.018671722849830985,0.02813615696504712,,
1,8,2779077202,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,199,2.8117116091307253,5.588980269967578,1.4081449698423967,1.0835425719851628
1,9,2779077203,NUMPY_FLOAT64,1,SUCCESS,0,25,201,0.01619526301510632,0.023608549032360315,,
1,9,2779077203,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,25,201,2.5472569646080956,5.57256950205192,1.2425424600951374,1.5046780500561
1,10,2779077200,NUMPY_FLOAT64,1,SUCCESS,0,20,86,0.008084180997684598,0.014521598001010716,,
1,10,2779077200,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,20,86,1.1670023321639746,1.9936321229906753,0.37690692592877895,0.3660227711079642
1,11,2779077201,NUMPY_FLOAT64,1,SUCCESS,0,23,181,0.015607075183652341,0.022026843042112887,,
1,11,2779077201,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,181,2.095771627034992,3.1675740350037813,0.5530230950098485,0.4040669429814443
1,12,2779077206,NUMPY_FLOAT64,1,SUCCESS,0,24,185,0.013150533777661622,0.019630684982985258,,
1,12,2779077206,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,185,2.555888529866934,4.5992118349531665,1.1006108089350164,0.7334860009141266
1,13,2779077207,NUMPY_FLOAT64,1,SUCCESS,0,19,66,0.006757031776942313,0.013455054955556989,,
1,13,2779077207,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,19,66,0.9443231502082199,0.9636069970438257,0.0,0.0
1,14,2779077204,NUMPY_FLOAT64,1,SUCCESS,0,25,227,0.013982609962113202,0.020537464995868504,,
1,14,2779077204,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,25,227,3.2228679839754477,5.574130653985776,1.0668731299228966,1.0869867419824004
1,15,2779077205,NUMPY_FLOAT64,1,SUCCESS,0,21,113,0.013575585908256471,0.022749878000468016,,
1,15,2779077205,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,21,113,1.5733001962071285,2.442767307977192,0.3340101439971477,0.4644981229212135
1,16,2779077194,NUMPY_FLOAT64,1,SUCCESS,0,26,276,0.02033460419625044,0.02702360099647194,,
1,16,2779077194,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,26,276,3.670169088523835,8.206311786081642,2.18820386310108,1.9604719070484862
1,17,2779077195,NUMPY_FLOAT64,1,SUCCESS,0,23,163,0.018122003064490855,0.02701252489350736,,
1,17,2779077195,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,163,2.2299765169154853,2.2467198920203373,0.0,0.0
1,18,2779077192,NUMPY_FLOAT64,1,SUCCESS,0,24,203,0.01183618395589292,0.017300228006206453,,
1,18,2779077192,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,203,2.846664720098488,6.938148967921734,1.9437108939746395,1.7400812930427492
1,19,2779077193,NUMPY_FLOAT64,1,SUCCESS,0,24,192,0.02073479106184095,0.03068438300397247,,
1,19,2779077193,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,192,2.7410705860238522,2.760302815004252,0.0,0.0
1,20,2779077198,NUMPY_FLOAT64,1,SUCCESS,0,26,262,0.01571154675912112,0.021921630948781967,,
1,20,2779077198,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,26,262,3.403294149087742,7.431524692103267,1.9408618240850046,1.6887295459164307
1,21,2779077199,NUMPY_FLOAT64,1,SUCCESS,0,22,140,0.015414700144901872,0.02358780603390187,,
1,21,2779077199,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,22,140,1.831185873830691,3.3806594259804115,0.6962019860511646,0.6738770690280944
1,22,2779077196,NUMPY_FLOAT64,1,SUCCESS,0,24,197,0.021894434350542724,0.031995062017813325,,
1,22,2779077196,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,197,2.634372775326483,6.746999835013412,1.8916503760265186,1.8484776119003072
1,23,2779077197,NUMPY_FLOAT64,1,SUCCESS,0,9,9,0.001992623903788626,0.005869899992831051,,
1,23,2779077197,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,9,9,0.12507195898797363,0.1325778589816764,0.0,0.0
1,24,2779077186,NUMPY_FLOAT64,1,SUCCESS,0,26,194,0.022237853263504803,0.03377630503382534,,
1,24,2779077186,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,26,194,2.641094757243991,2.6664452200056985,0.0,0.0
1,25,2779077187,NUMPY_FLOAT64,1,SUCCESS,0,19,92,0.0114141401136294,0.01966661005280912,,
1,25,2779077187,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,19,92,1.2563091651536524,1.2720487769693136,0.0,0.0
1,26,2779077184,NUMPY_FLOAT64,1,SUCCESS,0,23,162,0.01874573773238808,0.02821710705757141,,
1,26,2779077184,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,162,2.1942836861126125,4.029233761015348,0.8337106639519334,0.8476264160126448
1,27,2779077185,NUMPY_FLOAT64,1,SUCCESS,0,24,187,0.020551957306452096,0.030738858971744776,,
1,27,2779077185,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,187,2.685766085749492,6.176000022096559,1.4574907020432875,1.7171821240335703
1,28,2779077190,NUMPY_FLOAT64,1,SUCCESS,0,21,156,0.01716805435717106,0.025587380048818886,,
1,28,2779077190,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,21,156,2.144095215247944,2.16130134195555,0.0,0.0
1,29,2779077191,NUMPY_FLOAT64,1,SUCCESS,0,17,62,0.007743449881672859,0.01489234494511038,,
1,29,2779077191,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,62,0.9053962341276929,0.9170243359403685,0.0,0.0
1,30,2779077188,NUMPY_FLOAT64,1,SUCCESS,0,17,63,0.004723565885797143,0.008994175936095417,,
1,30,2779077188,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,63,0.864312105695717,0.8783284599194303,0.0,0.0
1,31,2779077189,NUMPY_FLOAT64,1,SUCCESS,0,22,126,0.013638848206028342,0.02237241400871426,,
1,31,2779077189,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,22,126,1.7995436110068113,3.4297857190249488,0.8594124229857698,0.6099887060699984
1,32,2779077242,NUMPY_FLOAT64,1,SUCCESS,0,24,206,0.021338129648938775,0.03145394695457071,,
1,32,2779077242,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,206,2.599867810262367,2.619394381996244,0.0,0.0
1,33,2779077243,NUMPY_FLOAT64,1,SUCCESS,0,24,174,0.0100234734127298,0.015356545918621123,,
1,33,2779077243,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,174,2.31476058694534,4.514389168005437,1.0440840579103678,0.8885617699706927
1,34,2779077240,NUMPY_FLOAT64,1,SUCCESS,0,25,267,0.02477444673422724,0.0320750440005213,,
1,34,2779077240,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,25,267,3.6860209200531244,5.329196189995855,0.8443059329874814,0.6301544109592214
1,35,2779077241,NUMPY_FLOAT64,1,SUCCESS,0,24,275,0.022023794939741492,0.028193188016302884,,
1,35,2779077241,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,275,3.915550143108703,6.42942837101873,1.1861440639477223,1.0624392890604213
1,36,2779077246,NUMPY_FLOAT64,1,SUCCESS,0,24,182,0.01070939318742603,0.016083243070170283,,
1,36,2779077246,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,182,2.698976782732643,2.717132029007189,0.0,0.0
1,37,2779077247,NUMPY_FLOAT64,1,SUCCESS,0,17,61,0.00582344806753099,0.011311353999190032,,
1,37,2779077247,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,61,0.8944465250242501,0.9068773849867284,0.0,0.0
1,38,2779077244,NUMPY_FLOAT64,1,SUCCESS,0,17,59,0.007113632280379534,0.013034156989306211,,
1,38,2779077244,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,59,0.7999935180414468,0.8127146860351786,0.0,0.0
1,39,2779077245,NUMPY_FLOAT64,1,SUCCESS,0,24,207,0.02311236783862114,0.033528880099765956,,
1,39,2779077245,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,207,2.7905753139639273,2.812862458988093,0.0,0.0
1,40,2779077234,NUMPY_FLOAT64,1,SUCCESS,0,20,87,0.005995918880216777,0.010530190076678991,,
1,40,2779077234,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,20,87,1.3382397388340905,1.3539424530463293,0.0,0.0
1,41,2779077235,NUMPY_FLOAT64,1,SUCCESS,0,26,283,0.027560270042158663,0.03525551606435329,,
1,41,2779077235,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,26,283,4.022455137688667,8.419356437050737,2.1872411081567407,1.8148849119897932
1,42,2779077232,NUMPY_FLOAT64,1,SUCCESS,0,23,191,0.021883583976887167,0.03194492997135967,,
1,42,2779077232,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,191,2.61861356603913,4.122864827979356,0.8005242489743978,0.5321788389701396
1,43,2779077233,NUMPY_FLOAT64,1,SUCCESS,0,23,187,0.021034906851127744,0.030077854986302555,,
1,43,2779077233,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,187,2.5925514383707196,2.6116083880187944,0.0,0.0
1,44,2779077238,NUMPY_FLOAT64,1,SUCCESS,0,23,155,0.01143892970867455,0.017194638960063457,,
1,44,2779077238,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,155,2.1799945139791816,2.1972253679996356,0.0,0.0
1,45,2779077239,NUMPY_FLOAT64,1,SUCCESS,0,26,280,0.021154033951461315,0.02727600105572492,,
1,45,2779077239,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,26,280,4.050074800150469,5.463375570019707,0.6599595349980518,0.6309743450256065
1,46,2779077236,NUMPY_FLOAT64,1,SUCCESS,0,24,178,0.020827150205150247,0.03116202400997281,,
1,46,2779077236,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,24,178,2.59567823598627,5.687370278988965,1.5152531720232219,1.276372572989203
1,47,2779077237,NUMPY_FLOAT64,1,SUCCESS,0,23,183,0.02107630716636777,0.03120707196649164,,
1,47,2779077237,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,183,2.3767952452180907,2.3940977959427983,0.0,0.0
1,48,2779077226,NUMPY_FLOAT64,1,SUCCESS,0,19,98,0.012145053129643202,0.020565093960613012,,
1,48,2779077226,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,19,98,1.3794596327934414,1.391839790972881,0.0,0.0
1,49,2779077227,NUMPY_FLOAT64,1,SUCCESS,0,25,172,0.0178984054364264,0.02782517089508474,,
1,49,2779077227,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,25,172,2.3628544118255377,2.3822712680557743,0.0,0.0
1,50,2779077224,NUMPY_FLOAT64,1,SUCCESS,0,23,163,0.012253852561116219,0.018983663991093636,,
1,50,2779077224,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,23,163,2.1393377298954874,2.154394651995972,0.0,0.0
4,1,2779077211,NUMPY_FLOAT64,1,SUCCESS,2,9,10,0.001021253876388073,0.003284743055701256,,
4,1,2779077211,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,9,10,0.17709985980764031,0.5615211249096319,0.09286808199249208,0.27421136712655425
4,2,2779077208,NUMPY_FLOAT64,1,SUCCESS,0,19,88,0.008637636317871511,0.01479476597160101,,
4,2,2779077208,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,19,88,1.188669928116724,3.7219679889967665,1.0280380168696865,1.310141573077999
4,3,2779077209,NUMPY_FLOAT64,1,SUCCESS,3,12,18,0.00260771915782243,0.006382204941473901,,
4,3,2779077209,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,12,18,0.2719114942010492,0.4711832089815289,0.06943615805357695,0.10334681195672601
4,4,2779077214,NUMPY_FLOAT64,1,SUCCESS,0,21,110,0.007161122164689004,0.012407460017129779,,
4,4,2779077214,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,21,110,1.4146763470489532,3.2676310130627826,0.6829665199620649,1.0465208831010386
4,5,2779077215,NUMPY_FLOAT64,1,SUCCESS,3,15,39,0.005543253966607153,0.012123016058467329,,
4,5,2779077215,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,15,39,0.643389254109934,1.0481325519504026,0.16545542003586888,0.1946284139994532
4,6,2779077212,NUMPY_FLOAT64,1,SUCCESS,0,22,124,0.009431535610929132,0.015815497958101332,,
4,6,2779077212,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,22,124,1.7071767438901588,4.71474813495297,1.3313272149534896,1.3731110099470243
4,7,2779077213,NUMPY_FLOAT64,1,SUCCESS,0,21,145,0.00994302297476679,0.015231308992952108,,
4,7,2779077213,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,21,145,2.0171481667784974,4.978678739978932,1.375519290100783,1.2807888080133125
4,8,2779077202,NUMPY_FLOAT64,1,SUCCESS,2,22,150,0.009138776455074549,0.014123402070254087,,
4,8,2779077202,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,22,150,2.2396631526062265,5.427437199978158,1.4501656879438087,1.4558978920103982
4,9,2779077203,NUMPY_FLOAT64,1,SUCCESS,1,18,73,0.009035211172886193,0.016966087045148015,,
4,9,2779077203,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,18,73,1.06619103893172,1.0817555269459262,0.0,0.0
4,10,2779077200,NUMPY_FLOAT64,1,SUCCESS,0,20,86,0.00820974912494421,0.015005434979684651,,
4,10,2779077200,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,20,86,1.2125184799078852,2.776382412062958,0.704294617054984,0.7126926120836288
4,11,2779077201,NUMPY_FLOAT64,1,SUCCESS,3,20,123,0.007233219803310931,0.011782743968069553,,
4,11,2779077201,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,20,123,1.8368684181477875,1.853108886978589,0.0,0.0
4,12,2779077206,NUMPY_FLOAT64,1,SUCCESS,1,21,96,0.011397249065339565,0.020506837056018412,,
4,12,2779077206,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,21,96,1.38439465186093,1.4035393779631704,0.0,0.0
4,13,2779077207,NUMPY_FLOAT64,1,SUCCESS,1,14,28,0.004020367749035358,0.01003851997666061,,
4,13,2779077207,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,14,28,0.4788758106296882,0.4917880699504167,0.0,0.0
4,14,2779077204,NUMPY_FLOAT64,1,SUCCESS,1,20,95,0.008924314053729177,0.016336411936208606,,
4,14,2779077204,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,20,95,1.1343428122345358,1.8410182839725167,0.35379359405487776,0.2786184550495818
4,15,2779077205,NUMPY_FLOAT64,1,SUCCESS,3,18,59,0.00492880295496434,0.00951752602122724,,
4,15,2779077205,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,18,59,0.7556850707624108,1.6004577919375151,0.4104863100219518,0.3747533780988306
4,16,2779077194,NUMPY_FLOAT64,1,SUCCESS,2,15,33,0.004822188871912658,0.011400089948438108,,
4,16,2779077194,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,15,33,0.5337036780547351,0.5458999620750546,0.0,0.0
4,17,2779077195,NUMPY_FLOAT64,1,SUCCESS,2,20,108,0.009483669186010957,0.015045045991428196,,
4,17,2779077195,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,20,108,1.355164730688557,2.2668241269420832,0.45866453798953444,0.38059777894522995
4,18,2779077192,NUMPY_FLOAT64,1,SUCCESS,2,18,54,0.0037218991201370955,0.007788760936819017,,
4,18,2779077192,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,18,54,0.7476340960711241,0.7586670080199838,0.0,0.0
4,19,2779077193,NUMPY_FLOAT64,1,SUCCESS,2,23,128,0.007725564180873334,0.012872925959527493,,
4,19,2779077193,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,23,128,1.9327509538270533,3.1755425189621747,0.6247174330055714,0.4769843409303576
4,20,2779077198,NUMPY_FLOAT64,1,SUCCESS,1,16,45,0.004980143043212593,0.010952089913189411,,
4,20,2779077198,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,16,45,0.7063167191809043,0.7197298710234463,0.0,0.0
4,21,2779077199,NUMPY_FLOAT64,1,SUCCESS,1,20,80,0.008525566896423697,0.01599017600528896,,
4,21,2779077199,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,20,80,1.015206508222036,1.0283994550118223,0.0,0.0
4,22,2779077196,NUMPY_FLOAT64,1,SUCCESS,1,22,117,0.008307743002660573,0.01421128399670124,,
4,22,2779077196,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,22,117,1.5320260637672618,2.885970394941978,0.6694251509616151,0.5279213520698249
4,23,2779077197,NUMPY_FLOAT64,1,SUCCESS,0,9,9,0.0019631270552054048,0.006123628932982683,,
4,23,2779077197,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,9,9,0.12133813393302262,0.12786351796239614,0.0,0.0
4,24,2779077186,NUMPY_FLOAT64,1,SUCCESS,1,21,90,0.010942816734313965,0.019881480024196208,,
4,24,2779077186,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,21,90,1.2027602741727605,1.217753196018748,0.0,0.0
4,25,2779077187,NUMPY_FLOAT64,1,SUCCESS,0,19,92,0.00906489766202867,0.015217776992358267,,
4,25,2779077187,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,19,92,1.2759086730657145,1.2907315390184522,0.0,0.0
4,26,2779077184,NUMPY_FLOAT64,1,SUCCESS,2,22,114,0.012415717355906963,0.021142826997675,,
4,26,2779077184,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,22,114,1.6721249773399904,3.006320510059595,0.6882061409996822,0.5033688850235194
4,27,2779077185,NUMPY_FLOAT64,1,SUCCESS,1,22,95,0.011500655091367662,0.02038610295858234,,
4,27,2779077185,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,22,95,1.4326831918442622,1.451226272038184,0.0,0.0
4,28,2779077190,NUMPY_FLOAT64,1,SUCCESS,2,16,50,0.005099527537822723,0.010089688003063202,,
4,28,2779077190,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,16,50,0.6799325719475746,0.6901138250250369,0.0,0.0
4,29,2779077191,NUMPY_FLOAT64,1,SUCCESS,0,17,62,0.004652100149542093,0.008708814973942935,,
4,29,2779077191,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,62,0.907801829627715,0.9209596589207649,0.0,0.0
4,30,2779077188,NUMPY_FLOAT64,1,SUCCESS,0,17,63,0.008001520880497992,0.014768538065254688,,
4,30,2779077188,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,63,0.893390916986391,0.9087004790781066,0.0,0.0
