target_count,seed_index,seed_j,seed_meas,normal_success,normal_trial,normal_L,normal_phys,normal_index,normal_logical,ckpt_success,ckpt_trial,ckpt_L,ckpt_phys,ckpt_index,ckpt_logical
4,16,1235409529,3778504485,1,21,116,116,2852,21/116/2852,1,21,116,36,2852,21/116/2852
4,17,1671752151,1634130852,1,24,121,121,507,24/121/507,1,24,121,51,507,24/121/507
4,18,2307125506,1140547971,1,22,116,116,8685,22/116/8685,1,22,116,49,8685,22/116/8685
4,19,3060902520,3380271266,1,21,82,82,507,21/82/507,1,21,82,38,507,21/82/507
4,20,3672856170,2560514877,1,22,112,112,507,22/112/507,1,22,112,50,507,22/112/507
4,21,4128775168,2739252299,1,9,4,4,2852,9/4/2852,1,9,4,4,2852,9/4/2852
4,22,1310251090,2693365983,1,15,37,37,507,15/37/507,1,15,37,11,507,15/37/507
4,23,2687880890,1629349060,1,12,21,21,8685,12/21/8685,1,12,21,8,8685,12/21/8685
4,24,3259068132,1931736185,1,9,14,14,8685,9/14/8685,1,9,14,5,8685,9/14/8685
4,25,4225432541,2696990511,1,19,77,77,4724,19/77/4724,1,19,77,24,4724,19/77/4724
4,26,2755641159,2380888848,1,21,83,83,2852,21/83/2852,1,21,83,25,2852,21/83/2852
4,27,1746008001,3406234698,1,19,77,77,507,19/77/507,1,19,77,25,507,19/77/507
4,28,1628298796,2364923577,1,23,142,142,2852,23/142/2852,1,23,142,37,2852,23/142/2852
4,29,2183404423,3152183097,1,18,62,62,2852,18/62/2852,1,18,62,26,2852,18/62/2852
4,30,1214542992,3935654379,1,20,80,80,2852,20/80/2852,1,20,80,43,2852,20/80/2852
4,31,1675574143,2830129121,1,10,14,14,4724,10/14/4724,1,10,14,5,4724,10/14/4724
4,32,1127294395,841088752,1,21,70,70,4724,21/70/4724,1,21,70,32,4724,21/70/4724
4,33,2034482752,1715596921,1,20,98,98,8685,20/98/8685,1,20,98,41,8685,20/98/8685
4,34,650719826,1734158600,1,11,17,17,8685,11/17/8685,1,11,17,5,8685,11/17/8685
4,35,3689147721,2815421014,1,18,73,73,8685,18/73/8685,1,18,73,33,8685,18/73/8685
4,36,3270286260,3217075870,1,17,47,47,4724,17/47/4724,1,17,47,24,4724,17/47/4724
4,37,3891037529,812672172,1,20,85,85,507,20/85/507,1,20,85,38,507,20/85/507
4,38,3434646356,753926488,1,16,54,54,8685,16/54/8685,1,16,54,15,8685,16/54/8685
4,39,3037914788,731803788,1,18,71,71,4724,18/71/4724,1,18,71,26,4724,18/71/4724
4,40,2116828546,2795483541,1,18,48,48,507,18/48/507,1,18,48,20,507,18/48/507
4,41,1488184749,597824083,1,12,14,14,2852,12/14/2852,1,12,14,8,2852,12/14/2852
4,42,2584200203,1051168140,1,15,34,34,2852,15/34/2852,1,15,34,16,2852,15/34/2852
4,43,4059669835,2063653729,1,19,98,98,4724,19/98/4724,1,19,98,30,4724,19/98/4724
4,44,4221968685,3099080042,1,21,123,123,2852,21/123/2852,1,21,123,36,2852,21/123/2852
4,45,480642581,3612588106,1,20,102,102,2852,20/102/2852,1,20,102,36,2852,20/102/2852
4,46,2693122366,431509581,1,18,68,68,507,18/68/507,1,18,68,19,507,18/68/507
4,47,404293123,2902735026,1,19,76,76,8685,19/76/8685,1,19,76,36,8685,19/76/8685
4,48,3239328888,3151672269,1,22,95,95,2852,22/95/2852,1,22,95,39,2852,22/95/2852
4,49,857760764,573285756,1,16,44,44,507,16/44/507,1,16,44,17,507,16/44/507
16,0,2065550767,607587826,1,11,15,15,4512,11/15/4512,1,11,15,5,4512,11/15/4512
16,1,981837020,2746853941,1,15,23,23,507,15/23/507,1,15,23,9,507,15/23/507
16,2,1633855666,2266769263,1,17,56,56,10593,17/56/10593,1,17,56,22,10593,17/56/10593
16,3,3282944846,4122538539,1,18,56,56,5281,18/56/5281,1,18,56,25,5281,18/56/5281
16,4,732984319,1065588451,1,14,27,27,4512,14/27/4512,1,14,27,13,4512,14/27/4512
16,5,3663223475,2803464919,1,15,18,18,10839,15/18/10839,1,15,18,7,10839,15/18/10839
16,6,248580544,1459736146,1,17,68,68,3947,17/68/3947,1,17,68,28,3947,17/68/3947
16,7,271503219,1405575467,1,12,25,25,5281,12/25/5281,1,12,25,11,5281,12/25/5281
16,8,3475617441,891492996,1,14,32,32,2852,14/32/2852,1,14,32,13,2852,14/32/2852
16,9,3298605890,3500391352,1,12,20,20,3947,12/20/3947,1,12,20,6,3947,12/20/3947
16,10,1287986467,3993909940,1,15,35,35,14405,15/35/14405,1,15,35,12,14405,15/35/14405
16,11,4192774778,839435034,1,17,57,57,1721,17/57/1721,1,17,57,19,1721,17/57/1721
16,12,3718819921,3356515485,1,16,28,28,5281,16/28/5281,1,16,28,16,5281,16/28/5281
16,13,2885358015,4125017950,1,16,43,43,10593,16/43/10593,1,16,43,11,10593,16/43/10593
16,14,543397905,1802140743,1,19,71,71,4724,19/71/4724,1,19,71,26,4724,19/71/4724
16,15,2893196498,3397696620,1,21,85,85,14405,21/85/14405,1,21,85,53,14405,21/85/14405
16,16,1235409529,3778504485,1,13,30,30,10931,13/30/10931,1,13,30,10,10931,13/30/10931
16,17,1671752151,1634130852,1,11,13,13,5281,11/13/5281,1,11,13,5,5281,11/13/5281
16,18,2307125506,1140547971,1,14,27,27,5281,14/27/5281,1,14,27,10,5281,14/27/5281
16,19,3060902520,3380271266,1,21,82,82,10931,21/82/10931,1,21,82,38,10931,21/82/10931
16,20,3672856170,2560514877,1,17,58,58,10931,17/58/10931,1,17,58,25,10931,17/58/10931
16,21,4128775168,2739252299,1,19,67,67,7786,19/67/7786,1,19,67,35,7786,19/67/7786
16,22,1310251090,2693365983,1,15,37,37,491,15/37/491,1,15,37,11,491,15/37/491
16,23,2687880890,1629349060,1,12,21,21,8685,12/21/8685,1,12,21,8,8685,12/21/8685
16,24,3259068132,1931736185,1,16,47,47,7786,16/47/7786,1,16,47,17,7786,16/47/7786
16,25,4225432541,2696990511,1,9,6,6,491,9/6/491,1,9,6,3,491,9/6/491
16,26,2755641159,2380888848,1,15,29,29,4512,15/29/4512,1,15,29,13,4512,15/29/4512
16,27,1746008001,3406234698,1,14,32,32,3947,14/32/3947,1,14,32,11,3947,14/32/3947
16,28,1628298796,2364923577,1,11,17,17,5281,11/17/5281,1,11,17,8,5281,11/17/5281
16,29,2183404423,3152183097,1,14,30,30,7786,14/30/7786,1,14,30,8,7786,14/30/7786
16,30,1214542992,3935654379,1,15,26,26,3947,15/26/3947,1,15,26,12,3947,15/26/3947
16,31,1675574143,2830129121,1,14,35,35,2852,14/35/2852,1,14,35,10,2852,14/35/2852
16,32,1127294395,841088752,1,21,70,70,5281,21/70/5281,1,21,70,32,5281,21/70/5281
16,33,2034482752,1715596921,1,13,23,23,491,13/23/491,1,13,23,9,491,13/23/491
16,34,650719826,1734158600,1,11,17,17,8685,11/17/8685,1,11,17,5,8685,11/17/8685
16,35,3689147721,2815421014,1,15,30,30,10593,15/30/10593,1,15,30,13,10593,15/30/10593
16,36,3270286260,3217075870,1,7,5,5,10931,7/5/10931,1,7,5,2,10931,7/5/10931
16,37,3891037529,812672172,1,2,1,1,491,2/1/491,1,2,1,1,491,2/1/491
16,38,3434646356,753926488,1,15,40,40,15288,15/40/15288,1,15,40,10,15288,15/40/15288
16,39,3037914788,731803788,1,18,71,71,15288,18/71/15288,1,18,71,26,15288,18/71/15288
16,40,2116828546,2795483541,1,18,48,48,507,18/48/507,1,18,48,20,507,18/48/507
16,41,1488184749,597824083,1,14,29,29,491,14/29/491,1,14,29,15,491,14/29/491
16,42,2584200203,1051168140,1,17,57,57,4512,17/57/4512,1,17,57,23,4512,17/57/4512
16,43,4059669835,2063653729,1,8,6,6,10839,8/6/10839,1,8,6,3,10839,8/6/10839
16,44,4221968685,3099080042,1,20,93,93,2852,20/93/2852,1,20,93,25,2852,20/93/2852
16,45,480642581,3612588106,1,12,21,21,7786,12/21/7786,1,12,21,8,7786,12/21/7786
16,46,2693122366,431509581,1,18,68,68,5281,18/68/5281,1,18,68,19,5281,18/68/5281
16,47,404293123,2902735026,1,15,30,30,1801,15/30/1801,1,15,30,17,1801,15/30/1801
16,48,3239328888,3151672269,1,13,13,13,15288,13/13/15288,1,13,13,6,15288,13/13/15288
16,49,857760764,573285756,1,16,44,44,15288,16/44/15288,1,16,44,17,15288,16/44/15288
64,0,2065550767,607587826,1,6,4,4,2852,6/4/2852,1,6,4,2,2852,6/4/2852
64,1,981837020,2746853941,1,13,14,14,8685,13/14/8685,1,13,14,5,8685,13/14/8685
64,2,1633855666,2266769263,1,7,3,3,8089,7/3/8089,1,7,3,2,8089,7/3/8089
64,3,3282944846,4122538539,1,13,19,19,4876,13/19/4876,1,13,19,8,4876,13/19/4876
64,4,732984319,1065588451,1,8,4,4,4720,8/4/4720,1,8,4,2,4720,8/4/4720
64,5,3663223475,2803464919,1,18,40,40,4876,18/40/4876,1,18,40,14,4876,18/40/4876
64,6,248580544,1459736146,1,12,24,24,7786,12/24/7786,1,12,24,10,7786,12/24/7786
64,7,271503219,1405575467,1,12,25,25,1801,12/25/1801,1,12,25,11,1801,12/25/1801
64,8,3475617441,891492996,1,11,13,13,3304,11/13/3304,1,11,13,5,3304,11/13/3304
64,9,3298605890,3500391352,1,1,0,0,12001,1/0/12001,1,1,0,0,12001,1/0/12001
64,10,1287986467,3993909940,1,5,4,4,8685,5/4/8685,1,5,4,2,8685,5/4/8685
64,11,4192774778,839435034,1,12,19,19,682,12/19/682,1,12,19,9,682,12/19/682
64,12,3718819921,3356515485,1,14,20,20,26,14/20/26,1,14,20,12,26,14/20/26
64,13,2885358015,4125017950,1,11,17,17,9302,11/17/9302,1,11,17,5,9302,11/17/9302
64,14,543397905,1802140743,1,12,19,19,14567,12/19/14567,1,12,19,7,14567,12/19/14567
64,15,2893196498,3397696620,1,10,7,7,7400,10/7/7400,1,10,7,4,7400,10/7/7400
64,16,1235409529,3778504485,1,13,30,30,10839,13/30/10839,1,13,30,10,10839,13/30/10839
64,17,1671752151,1634130852,1,7,6,6,6247,7/6/6247,1,7,6,3,6247,7/6/6247
64,18,2307125506,1140547971,1,9,8,8,14542,9/8/14542,1,9,8,4,14542,9/8/14542
64,19,3060902520,3380271266,1,11,16,16,4724,11/16/4724,1,11,16,7,4724,11/16/4724
64,20,3672856170,2560514877,1,13,20,20,14542,13/20/14542,1,13,20,7,14542,13/20/14542
64,21,4128775168,2739252299,1,13,18,18,11647,13/18/11647,1,13,18,8,11647,13/18/11647
64,22,1310251090,2693365983,1,8,6,6,4724,8/6/4724,1,8,6,3,4724,8/6/4724
64,23,2687880890,1629349060,1,10,13,13,16090,10/13/16090,1,10,13,6,16090,10/13/16090
64,24,3259068132,1931736185,1,3,2,2,2888,3/2/2888,1,3,2,1,2888,3/2/2888
64,25,4225432541,2696990511,1,6,3,3,3073,6/3/3073,1,6,3,2,3073,6/3/3073
64,26,2755641159,2380888848,1,12,13,13,8225,12/13/8225,1,12,13,7,8225,12/13/8225
64,27,1746008001,3406234698,1,10,11,11,173,10/11/173,1,10,11,3,173,10/11/173
64,28,1628298796,2364923577,1,10,14,14,10593,10/14/10593,1,10,14,6,10593,10/14/10593
64,29,2183404423,3152183097,1,7,6,6,14542,7/6/14542,1,7,6,2,14542,7/6/14542
64,30,1214542992,3935654379,1,11,11,11,3903,11/11/3903,1,11,11,5,3903,11/11/3903
64,31,1675574143,2830129121,1,11,19,19,160,11/19/160,1,11,19,6,160,11/19/160
64,32,1127294395,841088752,1,2,1,1,4720,2/1/4720,1,2,1,1,4720,2/1/4720
64,33,2034482752,1715596921,1,4,1,1,160,4/1/160,1,4,1,1,160,4/1/160
64,34,650719826,1734158600,1,10,13,13,6247,10/13/6247,1,10,13,5,6247,10/13/6247
64,35,3689147721,2815421014,1,13,18,18,7400,13/18/7400,1,13,18,9,7400,13/18/7400
64,36,3270286260,3217075870,1,14,23,23,5531,14/23/5531,1,14,23,10,5531,14/23/5531
64,37,3891037529,812672172,1,16,28,28,8225,16/28/8225,1,16,28,14,8225,16/28/8225
64,38,3434646356,753926488,1,10,17,17,10931,10/17/10931,1,10,17,6,10931,10/17/10931
64,39,3037914788,731803788,1,11,13,13,2888,11/13/2888,1,11,13,4,2888,11/13/2888
64,40,2116828546,2795483541,1,10,9,9,11272,10/9/11272,1,10,9,5,11272,10/9/11272
64,41,1488184749,597824083,1,6,5,5,4512,6/5/4512,1,6,5,3,4512,6/5/4512
64,42,2584200203,1051168140,1,10,8,8,507,10/8/507,1,10,8,5,507,10/8/507
64,43,4059669835,2063653729,1,10,12,12,11272,10/12/11272,1,10,12,6,11272,10/12/11272
64,44,4221968685,3099080042,1,11,8,8,7400,11/8/7400,1,11,8,4,7400,11/8/7400
64,45,480642581,3612588106,1,11,14,14,7786,11/14/7786,1,11,14,5,7786,11/14/7786
64,46,2693122366,431509581,1,9,10,10,6247,9/10/6247,1,9,10,5,6247,9/10/6247
64,47,404293123,2902735026,1,15,30,30,5200,15/30/5200,1,15,30,17,5200,15/30/5200
64,48,3239328888,3151672269,1,13,13,13,15288,13/13/15288,1,13,13,6,15288,13/13/15288
64,49,857760764,573285756,1,11,11,11,10234,11/11/10234,1,11,11,6,10234,11/11/10234
256,0,2065550767,607587826,1,8,7,7,15288,8/7/15288,1,8,7,3,15288,8/7/15288
256,1,981837020,2746853941,1,5,2,2,5849,5/2/5849,1,5,2,1,5849,5/2/5849
256,2,1633855666,2266769263,1,7,3,3,8081,7/3/8081,1,7,3,2,8081,7/3/8081
256,3,3282944846,4122538539,1,9,8,8,16060,9/8/16060,1,9,8,4,16060,9/8/16060
256,4,732984319,1065588451,1,12,17,17,12680,12/17/12680,1,12,17,9,12680,12/17/12680
256,5,3663223475,2803464919,1,10,5,5,7233,10/5/7233,1,10,5,2,7233,10/5/7233
256,6,248580544,1459736146,1,7,7,7,3716,7/7/3716,1,7,7,2,3716,7/7/3716
256,7,271503219,1405575467,1,8,8,8,3545,8/8/3545,1,8,8,3,3545,8/8/3545
256,8,3475617441,891492996,1,10,8,8,11907,10/8/11907,1,10,8,4,11907,10/8/11907
256,9,3298605890,3500391352,1,1,0,0,12001,1/0/12001,1,1,0,0,12001,1/0/12001
256,10,1287986467,3993909940,1,4,2,2,5451,4/2/5451,1,4,2,1,5451,4/2/5451
256,11,4192774778,839435034,1,12,19,19,873,12/19/873,1,12,19,9,873,12/19/873
256,12,3718819921,3356515485,1,5,3,3,90,5/3/90,1,5,3,2,90,5/3/90
256,13,2885358015,4125017950,1,6,5,5,7326,6/5/7326,1,6,5,2,7326,6/5/7326
256,14,543397905,1802140743,1,6,7,7,1930,6/7/1930,1,6,7,2,1930,6/7/1930
256,15,2893196498,3397696620,1,9,3,3,13448,9/3/13448,1,9,3,2,13448,9/3/13448
256,16,1235409529,3778504485,1,6,4,4,12329,6/4/12329,1,6,4,2,12329,6/4/12329
256,17,1671752151,1634130852,1,7,6,6,6247,7/6/6247,1,7,6,3,6247,7/6/6247
256,18,2307125506,1140547971,1,7,4,4,4389,7/4/4389,1,7,4,1,4389,7/4/4389
256,19,3060902520,3380271266,1,7,3,3,13749,7/3/13749,1,7,3,2,13749,7/3/13749
256,20,3672856170,2560514877,1,9,9,9,6940,9/9/6940,1,9,9,4,6940,9/9/6940
256,21,4128775168,2739252299,1,9,4,4,2302,9/4/2302,1,9,4,4,2302,9/4/2302
256,22,1310251090,2693365983,1,9,7,7,7844,9/7/7844,1,9,7,4,7844,9/7/7844
256,23,2687880890,1629349060,1,5,4,4,6733,5/4/6733,1,5,4,2,6733,5/4/6733
256,24,3259068132,1931736185,1,8,10,10,4724,8/10/4724,1,8,10,4,4724,8/10/4724
256,25,4225432541,2696990511,1,12,14,14,9555,12/14/9555,1,12,14,6,9555,12/14/9555
256,26,2755641159,2380888848,1,9,6,6,6702,9/6/6702,1,9,6,3,6702,9/6/6702
256,27,1746008001,3406234698,1,6,4,4,10532,6/4/10532,1,6,4,2,10532,6/4/10532
256,28,1628298796,2364923577,1,8,7,7,314,8/7/314,1,8,7,3,314,8/7/314
256,29,2183404423,3152183097,1,7,6,6,14410,7/6/14410,1,7,6,2,14410,7/6/14410
256,30,1214542992,3935654379,1,9,7,7,4956,9/7/4956,1,9,7,3,4956,9/7/4956
256,31,1675574143,2830129121,1,9,10,10,15859,9/10/15859,1,9,10,5,15859,9/10/15859
256,32,1127294395,841088752,1,10,12,12,11246,10/12/11246,1,10,12,4,11246,10/12/11246
256,33,2034482752,1715596921,1,8,8,8,825,8/8/825,1,8,8,4,825,8/8/825
256,34,650719826,1734158600,1,7,5,5,10842,7/5/10842,1,7,5,2,10842,7/5/10842
256,35,3689147721,2815421014,1,6,6,6,9972,6/6/9972,1,6,6,2,9972,6/6/9972
256,36,3270286260,3217075870,1,6,3,3,16297,6/3/16297,1,6,3,2,16297,6/3/16297
256,37,3891037529,812672172,1,5,4,4,1456,5/4/1456,1,5,4,2,1456,5/4/1456
256,38,3434646356,753926488,1,6,5,5,11990,6/5/11990,1,6,5,3,11990,6/5/11990
256,39,3037914788,731803788,1,4,2,2,10839,4/2/10839,1,4,2,1,10839,4/2/10839
256,40,2116828546,2795483541,1,5,4,4,586,5/4/586,1,5,4,2,586,5/4/586
256,41,1488184749,597824083,1,5,4,4,7400,5/4/7400,1,5,4,2,7400,5/4/7400
256,42,2584200203,1051168140,1,10,8,8,507,10/8/507,1,10,8,5,507,10/8/507
256,43,4059669835,2063653729,1,6,3,3,160,6/3/160,1,6,3,1,160,6/3/160
256,44,4221968685,3099080042,1,11,8,8,7400,11/8/7400,1,11,8,4,7400,11/8/7400
256,45,480642581,3612588106,1,6,4,4,8996,6/4/8996,1,6,4,2,8996,6/4/8996
256,46,2693122366,431509581,1,8,6,6,15586,8/6/15586,1,8,6,3,15586,8/6/15586
256,47,404293123,2902735026,1,9,6,6,56,9/6/56,1,9,6,3,56,9/6/56
256,48,3239328888,3151672269,1,11,7,7,10265,11/7/10265,1,11,7,4,10265,11/7/10265
256,49,857760764,573285756,1,9,6,6,5281,9/6/5281,1,9,6,3,5281,9/6/5281
