target_count,seed_index,requests,normal,golden_online,replay_online,opt_endpoint,opt_preserve,opt_bridge
64,25,6,3,2,2,2,2,2
64,26,12,13,7,7,7,7,6
64,27,10,11,3,3,3,2,2
64,28,10,14,6,6,6,5,5
64,29,7,6,2,2,2,2,2
64,30,11,11,5,5,5,4,3
64,31,11,19,6,6,6,5,5
64,32,2,1,1,1,1,1,1
64,33,4,1,1,1,1,1,1
64,34,10,13,5,5,5,4,4
64,35,13,18,9,9,9,8,8
64,36,14,23,10,10,10,9,9
64,37,16,28,14,14,14,11,7
64,38,10,17,6,6,6,5,5
64,39,11,13,4,4,4,3,3
64,40,10,9,5,5,5,4,4
64,41,6,5,3,3,3,2,2
64,42,10,8,5,5,5,5,5
64,43,10,12,6,6,6,5,5
64,44,11,8,4,4,4,3,3
64,45,11,14,5,5,5,4,4
64,46,9,10,5,5,5,5,4
64,47,15,30,17,17,17,12,12
64,48,13,13,6,6,6,6,6
64,49,11,11,6,6,6,5,5
256,0,8,7,3,3,3,3,3
256,1,5,2,1,1,1,1,1
256,2,7,3,2,2,2,2,2
256,3,9,8,4,4,4,4,4
256,4,12,17,9,9,9,7,7
256,5,10,5,2,2,2,2,2
256,6,7,7,2,2,2,2,2
256,7,8,8,3,3,3,3,3
256,8,10,8,4,4,4,4,4
256,9,1,0,0,0,0,0,0
256,10,4,2,1,1,1,1,1
256,11,12,19,9,9,9,7,7
256,12,5,3,2,2,2,2,2
256,13,6,5,2,2,2,2,2
256,14,6,7,2,2,2,2,2
256,15,9,3,2,2,2,2,2
256,16,6,4,2,2,2,2,2
256,17,7,6,3,3,3,2,2
256,18,7,4,1,1,1,1,1
256,19,7,3,2,2,2,2,2
256,20,9,9,4,4,4,4,4
256,21,9,4,4,4,4,4,4
256,22,9,7,4,4,4,3,3
256,23,5,4,2,2,2,2,2
256,24,8,10,4,4,4,3,3
256,25,12,14,6,6,6,5,5
256,26,9,6,3,3,3,3,2
256,27,6,4,2,2,2,2,2
256,28,8,7,3,3,3,2,2
256,29,7,6,2,2,2,2,2
256,30,9,7,3,3,3,3,3
256,31,9,10,5,5,5,4,4
256,32,10,12,4,4,4,4,4
256,33,8,8,4,4,4,3,3
256,34,7,5,2,2,2,2,2
256,35,6,6,2,2,2,2,2
256,36,6,3,2,2,2,2,2
256,37,5,4,2,2,2,2,2
256,38,6,5,3,3,3,2,2
256,39,4,2,1,1,1,1,1
256,40,5,4,2,2,2,2,2
256,41,5,4,2,2,2,2,2
256,42,10,8,5,5,5,5,5
256,43,6,3,1,1,1,1,1
256,44,11,8,4,4,4,3,3
256,45,6,4,2,2,2,2,2
256,46,8,6,3,3,3,3,2
256,47,9,6,3,3,3,3,3
256,48,11,7,4,4,4,4,4
256,49,9,6,3,3,3,2,2
