target_count,seed_index,requests,c3_work,c3_e1,c3_e2,c3_lb2,c3_maxjob,c3_ev_makespan,c3_ev_work,c3_ev_idle,c3_gate_makespan,c3_gate_work,c3_gate_idle,c4_work,c4_e1,c4_e2,c4_lb2,c4_maxjob,c4_ev_makespan,c4_ev_work,c4_ev_idle,c4_gate_makespan,c4_gate_work,c4_gate_idle,c5_work,c5_e1,c5_e2,c5_lb2,c5_maxjob,c5_ev_makespan,c5_ev_work,c5_ev_idle,c5_gate_makespan,c5_gate_work,c5_gate_idle
1,40,18,13,13,8,7,4,13,22,4,12,19,5,12,12,7,6,4,12,21,3,12,21,3,12,12,7,6,4,12,21,3,12,21,3
1,41,24,69,69,47,36,36,74,110,38,69,92,46,67,67,47,36,36,72,108,36,68,89,47,66,66,47,36,36,69,101,37,68,89,47
1,42,21,35,35,25,18,17,35,53,17,35,53,17,35,35,25,18,17,35,53,17,35,53,17,35,35,25,18,17,35,53,17,35,53,17
1,43,28,40,40,23,20,9,35,67,3,33,60,6,33,33,19,17,8,40,79,1,37,68,6,33,33,19,17,8,37,73,1,34,62,6
1,44,28,107,107,66,54,46,106,169,43,105,157,53,105,105,66,53,46,112,173,51,105,155,55,105,105,66,53,46,111,172,50,105,159,51
1,45,21,30,30,19,15,14,33,62,4,30,56,4,30,30,19,15,14,32,61,3,30,55,5,30,30,19,15,14,32,61,3,30,55,5
1,46,20,19,19,10,10,5,23,39,7,19,34,4,19,19,10,10,5,21,37,5,19,32,6,19,19,10,10,5,21,37,5,19,32,6
1,47,21,26,26,16,13,13,29,55,3,26,49,3,25,25,15,13,13,29,55,3,26,49,3,25,25,15,13,13,29,55,3,26,49,3
1,48,25,37,37,21,19,15,35,69,1,34,64,4,35,35,20,18,15,41,73,9,34,65,3,34,34,19,17,15,41,73,9,34,65,3
1,49,23,40,40,31,23,23,41,59,23,41,59,23,40,40,31,23,23,40,58,22,40,58,22,40,40,31,23,23,40,57,23,40,57,23
4,0,21,38,38,28,22,22,38,56,20,38,53,23,38,38,28,22,22,38,54,22,38,54,22,38,38,28,22,22,38,54,22,38,54,22
4,1,23,40,40,22,20,15,40,66,14,35,51,19,37,37,19,19,13,39,65,13,35,50,20,35,35,19,18,13,37,62,12,35,49,21
4,2,19,24,24,14,12,8,24,41,7,24,38,10,24,24,14,12,8,24,40,8,24,40,8,24,24,14,12,8,24,40,8,24,40,8
4,3,20,28,28,17,14,8,26,45,7,26,45,7,27,27,15,14,8,26,45,7,26,45,7,26,26,15,13,8,26,45,7,26,45,7
4,4,16,11,11,6,6,3,11,20,2,11,20,2,11,11,6,6,3,11,20,2,11,20,2,11,11,6,6,3,11,20,2,11,20,2
4,5,20,18,18,12,9,6,17,32,2,17,32,2,17,17,11,9,6,17,32,2,17,32,2,17,17,11,9,6,17,32,2,17,32,2
4,6,9,4,4,2,2,1,4,7,1,4,7,1,4,4,2,2,1,4,7,1,4,7,1,4,4,2,2,1,4,7,1,4,7,1
4,7,21,36,36,28,21,21,38,53,23,36,49,23,36,36,28,21,21,37,52,22,36,49,23,36,36,28,21,21,37,52,22,36,49,23
4,8,15,8,8,4,4,2,8,15,1,8,15,1,8,8,4,4,2,8,15,1,8,15,1,8,8,4,4,2,8,15,1,8,15,1
4,9,23,33,33,19,17,11,27,44,10,26,42,10,28,28,14,14,11,26,43,9,26,43,9,26,26,13,13,11,26,43,9,26,43,9
4,10,19,17,17,9,9,6,18,29,7,17,27,7,17,17,9,9,6,17,28,6,17,28,6,17,17,9,9,6,17,28,6,17,28,6
4,11,15,10,10,5,5,4,10,17,3,10,17,3,10,10,5,5,4,10,17,3,10,17,3,10,10,5,5,4,10,17,3,10,17,3
4,12,18,12,12,8,7,7,10,20,0,10,20,0,10,10,8,7,7,10,20,0,10,20,0,10,10,8,7,7,10,20,0,10,20,0
4,13,22,41,41,27,21,16,40,67,13,40,54,26,40,40,26,20,16,40,66,14,40,56,24,40,40,26,20,16,40,65,15,40,55,25
4,14,17,14,14,7,7,4,14,24,4,14,24,4,14,14,7,7,4,14,24,4,14,24,4,14,14,7,7,4,14,24,4,14,24,4
4,15,21,37,37,29,23,23,35,49,21,34,48,20,35,35,27,23,23,36,48,24,34,45,23,34,34,26,23,23,34,46,22,34,46,22
