target_count,seed_index,requests,requests_a,requests_b,normal,single_opt_k4,k22_a,k22_b,k22_total,k22_makespan,k32_a,k32_b,k32_total,k32_makespan,k23_a,k23_b,k23_total,k23_makespan,k33_a,k33_b,k33_total,k33_makespan
4,16,21,11,10,116,19,23,17,40,23,19,17,36,19,23,17,40,23,19,17,36,19
4,17,24,12,12,121,32,31,19,50,31,29,19,48,29,31,18,49,31,29,18,47,29
4,18,22,11,11,116,20,22,21,43,22,20,21,41,21,22,15,37,22,20,15,35,20
4,19,21,11,10,82,27,29,13,42,29,28,13,41,28,29,10,39,29,28,10,38,28
4,20,22,11,11,112,29,16,33,49,33,16,33,49,33,16,29,45,29,16,29,45,29
4,21,9,5,4,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4
4,22,15,8,7,37,9,9,8,17,9,9,8,17,9,9,8,17,9,9,8,17,9
4,23,12,6,6,21,7,2,7,9,7,2,7,9,7,2,7,9,7,2,7,9,7
4,24,9,5,4,14,4,4,3,7,4,4,3,7,4,4,3,7,4,4,3,7,4
4,25,19,10,9,77,22,22,15,37,22,22,15,37,22,22,15,37,22,22,15,37,22
4,26,21,11,10,83,20,22,13,35,22,20,13,33,20,22,12,34,22,20,12,32,20
4,27,19,10,9,77,21,21,17,38,21,21,17,38,21,21,17,38,21,21,17,38,21
4,28,23,12,11,142,30,30,25,55,30,30,25,55,30,30,23,53,30,30,23,53,30
4,29,18,9,9,62,19,8,19,27,19,6,19,25,19,8,19,27,19,6,19,25,19
4,30,20,10,10,80,25,25,17,42,25,25,17,42,25,25,17,42,25,25,17,42,25
4,31,10,5,5,14,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4
4,32,21,11,10,70,23,26,8,34,26,24,8,32,24,26,7,33,26,24,7,31,24
4,33,20,10,10,98,26,27,10,37,27,26,10,36,26,27,10,37,27,26,10,36,26
4,34,11,6,5,17,4,4,3,7,4,4,3,7,4,4,3,7,4,4,3,7,4
4,35,18,9,9,73,17,17,17,34,17,17,17,34,17,17,16,33,17,17,16,33,17
4,36,17,9,8,47,17,18,9,27,18,17,9,26,17,18,9,27,18,17,9,26,17
4,37,20,10,10,85,30,7,29,36,29,5,29,34,29,7,27,34,27,5,27,32,27
4,38,16,8,8,54,14,9,14,23,14,9,14,23,14,9,14,23,14,9,14,23,14
4,39,18,9,9,71,22,9,22,31,22,9,22,31,22,9,22,31,22,9,22,31,22
4,40,18,9,9,48,12,13,7,20,13,12,7,19,12,13,6,19,13,12,6,18,12
4,41,12,6,6,14,7,2,7,9,7,2,7,9,7,2,7,9,7,2,7,9,7
4,42,15,8,7,34,12,12,5,17,12,12,5,17,12,12,5,17,12,12,5,17,12
4,43,19,10,9,98,20,20,12,32,20,20,12,32,20,20,12,32,20,20,12,32,20
4,44,21,11,10,123,30,32,19,51,32,30,19,49,30,32,19,51,32,30,19,49,30
4,45,20,10,10,102,30,10,30,40,30,10,30,40,30,10,30,40,30,10,30,40,30
4,46,18,9,9,68,16,7,16,23,16,7,16,23,16,7,16,23,16,7,16,23,16
4,47,19,10,9,76,25,25,13,38,25,25,13,38,25,25,12,37,25,25,12,37,25
4,48,22,11,11,95,33,24,32,56,32,24,32,56,32,24,32,56,32,24,32,56,32
4,49,16,8,8,44,12,5,12,17,12,5,12,17,12,5,12,17,12,5,12,17,12
16,0,11,6,5,15,3,3,3,6,3,3,3,6,3,3,3,6,3,3,3,6,3
16,1,15,8,7,23,9,9,2,11,9,9,2,11,9,9,2,11,9,9,2,11,9
16,2,17,9,8,56,16,16,9,25,16,16,9,25,16,16,9,25,16,16,9,25,16
16,3,18,9,9,56,19,10,21,31,21,10,21,31,21,10,19,29,19,10,19,29,19
16,4,14,7,7,27,7,4,7,11,7,4,7,11,7,4,7,11,7,4,7,11,7
16,5,15,8,7,18,5,5,2,7,5,5,2,7,5,5,2,7,5,5,2,7,5
16,6,17,9,8,68,17,17,9,26,17,17,9,26,17,17,9,26,17,17,9,26,17
16,7,12,6,6,25,7,4,7,11,7,4,7,11,7,4,7,11,7,4,7,11,7
16,8,14,7,7,32,7,6,7,13,7,6,7,13,7,6,7,13,7,6,7,13,7
16,9,12,6,6,20,6,5,6,11,6,5,6,11,6,5,6,11,6,5,6,11,6
16,10,15,8,7,35,11,11,5,16,11,11,5,16,11,11,5,16,11,11,5,16,11
16,11,17,9,8,57,10,10,7,17,10,10,7,17,10,10,7,17,10,10,7,17,10
16,12,16,8,8,28,10,3,10,13,10,2,10,12,10,3,10,13,10,2,10,12,10
16,13,16,8,8,43,8,10,8,18,10,8,8,16,8,10,8,18,10,8,8,16,8
16,14,19,10,9,71,14,14,10,24,14,14,10,24,14,14,10,24,14,14,10,24,14
16,15,21,11,10,85,35,35,10,45,35,34,10,44,34,35,9,44,35,34,9,43,34
16,16,13,7,6,30,8,8,4,12,8,8,4,12,8,8,4,12,8,8,4,12,8
16,17,11,6,5,13,4,4,3,7,4,4,3,7,4,4,3,7,4,4,3,7,4
16,18,14,7,7,27,9,8,9,17,9,8,9,17,9,8,9,17,9,8,9,17,9
16,19,21,11,10,82,27,29,13,42,29,28,13,41,28,29,10,39,29,28,10,38,28
16,20,17,9,8,58,13,12,13,25,13,12,13,25,13,12,13,25,13,12,13,25,13
16,21,19,10,9,67,15,14,15,29,15,14,15,29,15,14,15,29,15,14,15,29,15
16,22,15,8,7,37,9,9,8,17,9,9,8,17,9,9,8,17,9,9,8,17,9
16,23,12,6,6,21,7,2,7,9,7,2,7,9,7,2,7,9,7,2,7,9,7
16,24,16,8,8,47,12,8,12,20,12,6,12,18,12,8,12,20,12,6,12,18,12
16,25,9,5,4,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
16,26,15,8,7,29,10,10,6,16,10,10,6,16,10,10,6,16,10,10,6,16,10
16,27,14,7,7,32,10,5,10,15,10,5,10,15,10,5,10,15,10,5,10,15,10
16,28,11,6,5,17,5,3,5,8,5,3,5,8,5,3,5,8,5,3,5,8,5
16,29,14,7,7,30,6,6,6,12,6,6,6,12,6,6,6,12,6,6,6,12,6
16,30,15,8,7,26,7,5,7,12,7,5,7,12,7,5,7,12,7,5,7,12,7
16,31,14,7,7,35,9,5,9,14,9,5,9,14,9,5,9,14,9,5,9,14,9
16,32,21,11,10,70,23,26,8,34,26,24,8,32,24,26,7,33,26,24,7,31,24
16,33,13,7,6,23,6,6,3,9,6,6,3,9,6,6,3,9,6,6,3,9,6
16,34,11,6,5,17,4,4,3,7,4,4,3,7,4,4,3,7,4,4,3,7,4
16,35,15,8,7,30,12,12,2,14,12,12,2,14,12,12,2,14,12,12,2,14,12
16,36,7,4,3,5,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
16,37,2,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
16,38,15,8,7,40,9,9,5,14,9,9,5,14,9,9,5,14,9,9,5,14,9
